episode,Agent0 loss,Agent0 Average_Reward
0,[4552.55615234375],-192.38432461822782
1,[3682.10205078125],-185.22314900044657
2,[3581.802490234375],-182.7882968173863
3,[2525.4228515625],-161.3732858988655
4,[2187.943359375],-162.31794756348438
5,[1476.8092041015625],-188.26741584595572
6,[915.66357421875],-200.43761337314774
7,[443.41546630859375],-173.08123772683751
8,[612.2545776367188],-207.6404817121486
9,[937.5072631835938],-198.47228142170079
10,[3612.776123046875],-136.44888581872954
11,[2114.805908203125],-156.74749745494486
12,[1751.548095703125],-221.78514303471968
13,[1354.003173828125],-149.18880822353768
14,[1171.964599609375],-153.7202988218003
15,[1527.9459228515625],-194.3868809917402
16,[1890.547607421875],-191.97282907089632
17,[2626.001220703125],-293.4855581457587
18,[1446.4111328125],-219.87197855585373
19,[2037.029296875],-201.21343687526996
20,[5156.36474609375],-169.7147564873141
21,[3406.166015625],-174.62809323269695
22,[1794.7398681640625],-139.80994486035698
23,[2984.339111328125],-258.8441273407865
24,[2453.60498046875],-258.76974311578334
25,[3907.9619140625],-162.4202818413788
26,[1790.104248046875],-160.53393816648114
27,[2071.85986328125],-176.5204128037947
28,[2914.054931640625],-184.53396967846646
29,[2477.334716796875],-245.44679012959344
30,[5325.85888671875],-176.35837076768158
31,[3564.21923828125],-140.67601585340938
32,[2900.770263671875],-125.50738106840551
33,[2497.619873046875],-117.14343115135412
34,[2034.0010986328125],-122.6710381385104
35,[2842.036376953125],-126.51576036517025
36,[4239.67822265625],-146.07702684545865
37,[4843.4072265625],-119.37407789085822
38,[3188.416015625],-134.08916922822112
39,[2537.0615234375],-107.65532821714686
40,[3149.557861328125],-112.80968371892722
41,[3205.482177734375],-134.6777455462411
42,[3532.437255859375],-112.57702568872496
43,[4042.592529296875],-117.36159136721157
44,[3523.4814453125],-130.38054427065592
45,[4724.40673828125],-130.48716513989535
46,[3418.163330078125],-123.1555662001481
47,[2960.667724609375],-115.47715908701777
48,[3009.068359375],-121.17817278465668
49,[4128.7333984375],-114.83980116478808
50,[3968.556396484375],-117.60444104993907
51,[3995.14013671875],-116.33782737131139
52,[3144.421630859375],-122.17166964278955
53,[4319.6767578125],-125.26388050046575
54,[3689.113525390625],-117.44825204289735
55,[4019.284912109375],-118.1035779651174
56,[4721.68408203125],-122.61187565169355
57,[3580.9775390625],-112.36650948921721
58,[3315.977783203125],-116.15090089785072
59,[3009.83544921875],-110.47689575060981
60,[3797.45703125],-106.22052347418679
61,[3527.197998046875],-116.47992057461592
62,[4157.5546875],-102.61077600903492
63,[3852.521728515625],-111.09251155424069
64,[3340.8271484375],-103.62860720726007
65,[4129.6279296875],-110.32576775540878
66,[3518.031494140625],-106.68905361375542
67,[3837.341796875],-104.50278001408377
68,[3355.96875],-107.01841420487337
69,[4112.46826171875],-97.19555155963519
70,[2517.952880859375],-97.47738061654842
71,[2376.60400390625],-105.32674525196278
72,[3849.77197265625],-153.77722341436925
73,[4084.6103515625],-110.31518580351474
74,[4722.6474609375],-114.2534939589178
75,[2511.845947265625],-110.51375789354434
76,[3403.24169921875],-97.48370875895263
77,[4043.1474609375],-106.50702895373144
78,[3310.093505859375],-119.49861774229555
