episode,Agent0 loss,Agent0 Average_Reward
0,[1771.0546875],-44.26475521024152
1,[1013.5441284179688],-34.5525027467325
2,[710.2477416992188],-32.25247299186686
3,[321.9176940917969],-30.543225161067785
4,[248.36878967285156],-31.854485598419124
5,[157.43739318847656],-35.326590858559626
6,[176.60032653808594],-40.92646075909418
7,[317.41705322265625],-30.499657216489776
8,[311.8340148925781],-31.017451153578975
9,[181.45570373535156],-27.65224637951764
10,[192.1165313720703],-26.657776220421155
11,[189.09335327148438],-25.1816116009555
12,[183.25942993164062],-29.235034668844204
13,[127.42521667480469],-28.214249558007793
14,[132.23963928222656],-28.972033495815133
15,[139.06396484375],-27.336833757341417
16,[198.35340881347656],-25.86669839471756
17,[214.02662658691406],-33.53997253010911
18,[139.3289337158203],-31.251292977564418
19,[159.0109405517578],-28.174170477479816
20,[422.6842956542969],-28.938008970263986
21,[402.5387268066406],-27.70378077438951
22,[437.5340881347656],-26.425246508861637
23,[274.9765930175781],-24.360597526016438
24,[287.78912353515625],-26.59636304831372
25,[457.9450378417969],-28.235714035983545
26,[265.1878662109375],-27.09089738161728
27,[233.9973602294922],-26.33156409067766
28,[242.1415557861328],-27.185717900382734
29,[346.48199462890625],-24.442553886385912
30,[343.2432861328125],-21.92359560770359
31,[331.20367431640625],-24.778004667797816
32,[354.6626892089844],-27.246345825961722
33,[194.12203979492188],-21.979683190380808
34,[248.6138458251953],-25.887258967013373
35,[301.7594299316406],-23.564211161851283
36,[344.7827453613281],-27.114259003061616
37,[305.1650695800781],-24.861983432898512
38,[198.6310577392578],-25.824925572249647
39,[255.6575927734375],-19.688861969488208
40,[375.52899169921875],-25.36625127165823
41,[614.8673095703125],-26.269960555663513
42,[373.9945983886719],-23.60100389402016
43,[429.0510559082031],-25.898822346088867
44,[504.4957275390625],-26.415371971483054
45,[456.2751770019531],-25.43772156274212
46,[374.1183166503906],-26.304542319760113
47,[432.5445556640625],-27.367976443960394
48,[485.8434143066406],-25.454556360499286
49,[559.5697631835938],-22.62664347802955
50,[374.56304931640625],-25.626156407516923
51,[439.0525817871094],-26.42383702190428
52,[343.39678955078125],-25.843618305070393
53,[347.6409606933594],-28.911156461502376
54,[344.3830261230469],-25.99876955245944
55,[335.1216125488281],-26.137426665521218
56,[358.46588134765625],-23.039590705241196
57,[289.68951416015625],-22.05798017268008
58,[258.3087158203125],-21.694425811596375
59,[302.4897766113281],-24.62626216793889
60,[307.6283264160156],-22.889441093231316
61,[349.16912841796875],-27.521066557721937
62,[385.1807861328125],-24.015217314228003
63,[446.4813537597656],-22.822468536601466
64,[280.297607421875],-25.29442745432865
65,[304.8984680175781],-24.53212727142871
66,[332.3865051269531],-24.529832812404216
67,[395.9700927734375],-24.754926633312184
68,[340.7449645996094],-23.214703997570915
69,[348.5382080078125],-22.89874562092468
70,[295.27984619140625],-22.87588391522095
71,[271.88494873046875],-22.053008478720088
72,[367.19903564453125],-23.407446529916523
73,[383.2689208984375],-24.263019370211822
74,[300.2266540527344],-22.356117266954755
75,[358.7339172363281],-23.19839202962046
76,[252.71018981933594],-19.23965069504276
77,[360.5341491699219],-22.974302156805262
78,[337.55987548828125],-25.868436059145907
79,[416.62060546875],-22.80476778062194
80,[404.81304931640625],-21.38888310808444
81,[365.5850524902344],-20.105173027234166
82,[249.11427307128906],-25.475194807949574
83,[379.8175354003906],-23.964384529712152
84,[330.6227111816406],-23.35770578921755
85,[423.9200134277344],-23.89842267251372
86,[363.3066711425781],-21.575977664621494
87,[409.4482116699219],-23.04511948835804
88,[366.27886962890625],-23.84012171352361
89,[369.7987976074219],-26.58523819738396
90,[442.4690856933594],-23.160171045101695
91,[350.4911804199219],-26.211348947511954
92,[487.3236083984375],-23.047429090914058
93,[374.54400634765625],-26.092318471206003
94,[308.1029052734375],-22.472649372157438
95,[389.2513427734375],-22.287869658242332
96,[309.4216003417969],-24.06314563449456
97,[316.84698486328125],-22.089823695422282
98,[233.77354431152344],-23.84434938032033
99,[324.7935485839844],-23.446309785319468
100,[294.4631652832031],-22.990955473128057
101,[331.2794494628906],-22.553389208067518
102,[299.7835388183594],-24.688061353246663
103,[263.9139709472656],-25.680551627099383
104,[285.393798828125],-19.914662926744917
105,[236.59556579589844],-24.325718791058343
106,[391.88067626953125],-22.635890448815452
107,[346.1627197265625],-22.142505463186506
108,[276.58343505859375],-20.88084909094685
109,[230.05462646484375],-20.35204943542249
110,[255.33546447753906],-23.98217899656883
111,[243.15353393554688],-21.062072283198404
112,[223.5745849609375],-20.954388253694624
113,[340.3809509277344],-23.362411408861252
114,[193.8629150390625],-23.029204841147763
115,[295.54766845703125],-21.979184825164282
116,[326.1470031738281],-23.483500543500753
117,[323.9244689941406],-26.714701329357403
118,[306.8468933105469],-22.445468809751524
119,[309.9349060058594],-22.378004447579755
120,[486.55572509765625],-23.324212534381758
121,[437.20660400390625],-22.455291042495826
122,[362.0540771484375],-25.416282564425927
123,[241.27813720703125],-22.870750627539064
124,[331.4967346191406],-23.6503670638566
125,[530.7264404296875],-22.80489642124462
126,[349.3097229003906],-21.776729005403045
127,[429.2897033691406],-23.571568441302855
128,[309.6645202636719],-23.724049212538525
129,[483.9487609863281],-21.566523358676367
130,[282.2632141113281],-20.401319667180065
131,[289.8958435058594],-22.65840271891882
132,[358.19635009765625],-21.770492915622793
133,[333.40081787109375],-22.21082692548877
134,[387.7835998535156],-19.685234637452865
135,[353.0561828613281],-22.84999048677489
136,[385.4898986816406],-21.144516008312962
137,[355.61700439453125],-22.77910800399254
138,[272.6078186035156],-23.60861951900198
139,[371.588134765625],-22.46765803761188
140,[336.87396240234375],-25.691191241014128
141,[420.1412658691406],-21.618631152635043
142,[315.92230224609375],-22.06921174678701
143,[340.74652099609375],-22.25185580408593
144,[583.5780639648438],-21.38572572439433
145,[350.743408203125],-21.207435971405186
146,[509.8792724609375],-24.772565553972857
147,[230.15191650390625],-23.41905971587603
148,[471.5147399902344],-20.749689723678312
149,[321.7672424316406],-24.155614706237444
150,[219.7662811279297],-22.560785415298064
151,[384.3820495605469],-23.679000524291386
152,[373.4119873046875],-22.965363054668277
153,[448.8667907714844],-23.124214087991657
154,[325.9803466796875],-22.1559036974754
155,[446.56488037109375],-22.39067546911433
156,[383.1951904296875],-21.98760055709926
157,[392.51141357421875],-23.950604991805246
158,[375.6499328613281],-22.256604181168395
159,[305.4379577636719],-24.35383765828039
160,[218.07383728027344],-20.377620339443478
161,[402.7913818359375],-25.041556260941846
162,[338.0583801269531],-20.942187324460523
163,[385.5159606933594],-22.411005961633926
164,[417.7218933105469],-27.17008581194863
165,[319.1451721191406],-23.82149499850704
166,[431.3709411621094],-25.3010428663442
167,[427.0871276855469],-26.895821753695245
168,[346.299560546875],-23.732433158375603
169,[337.468505859375],-25.163191607137204
170,[454.9585266113281],-25.260327317252568
171,[471.3652648925781],-25.13042436583894
172,[370.174072265625],-23.780058067567193
173,[418.4219055175781],-26.053004658112943
174,[408.4934387207031],-22.440196412647307
175,[295.181640625],-24.80749758469458
176,[267.7144470214844],-24.475265586938367
177,[428.75335693359375],-24.3998874679577
178,[329.3117370605469],-23.502063973864583
179,[307.9632873535156],-24.949291442271978
180,[345.8211364746094],-22.980235100543464
181,[324.91644287109375],-22.465825849284776
182,[371.1588134765625],-23.034562090769054
183,[393.34796142578125],-23.165134122034328
184,[279.1144104003906],-24.17362311917631
185,[268.484130859375],-20.655817764420775
186,[341.5411682128906],-20.761107795630437
187,[263.17950439453125],-21.95527005945615
188,[287.900634765625],-24.621991889551186
189,[275.0693054199219],-25.016498038190296
190,[316.92901611328125],-25.021319323125393
191,[269.6723937988281],-22.48316333013584
192,[255.06533813476562],-23.628277546846927
193,[417.03106689453125],-24.368019944726903
194,[375.9329833984375],-22.070088811002368
195,[197.4226531982422],-22.98609551898097
196,[264.6713562011719],-24.87620081119086
197,[326.0894470214844],-26.86964011651375
198,[424.29791259765625],-25.841939990397034
199,[319.77911376953125],-22.13056051823725
200,[324.7550048828125],-23.539986044963204
201,[265.7885437011719],-22.336384834858045
202,[246.8799591064453],-23.178296261562203
203,[327.13323974609375],-23.25489856243369
204,[307.4992370605469],-22.243985895734983
205,[285.16717529296875],-28.67818012916165
206,[351.71014404296875],-23.942324183782578
207,[365.3135070800781],-25.655901214991758
208,[247.97984313964844],-23.75171565152089
209,[287.2799377441406],-23.19135618880098
210,[299.4971923828125],-20.175566036229977
211,[262.9949035644531],-22.97686436858313
212,[316.68475341796875],-26.265978482209267
213,[368.623046875],-23.626911916973665
214,[361.5205993652344],-26.143037846795586
