Time,Junction 0 stop delay
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,2.1326774524210887
95,2.1326774524210887
96,2.1326774524210887
97,2.1326774524210887
98,2.1326774524210887
99,2.1326774524210887
100,2.1326774524210887
101,2.1326774524210887
102,2.1326774524210887
103,2.1326774524210887
104,2.1326774524210887
105,2.877261963039145
106,2.877261963039145
107,2.877261963039145
108,2.877261963039145
109,2.877261963039145
110,2.877261963039145
111,2.877261963039145
112,2.877261963039145
113,2.877261963039145
114,4.283316595331343
115,5.86675100450363
116,5.86675100450363
117,5.86675100450363
118,5.86675100450363
119,5.86675100450363
120,5.86675100450363
121,5.86675100450363
122,5.86675100450363
123,5.86675100450363
124,5.86675100450363
125,8.977280513685091
126,9.841597701346519
127,9.841597701346519
128,9.841597701346519
129,9.841597701346519
130,9.841597701346519
131,9.841597701346519
132,9.841597701346519
133,9.841597701346519
134,9.841597701346519
135,9.841597701346519
136,9.841597701346519
137,9.841597701346519
138,9.841597701346519
139,9.841597701346519
140,9.841597701346519
141,9.841597701346519
142,11.35191746817554
143,11.35191746817554
144,11.35191746817554
145,11.35191746817554
146,11.35191746817554
147,11.35191746817554
148,11.35191746817554
149,11.35191746817554
150,11.35191746817554
151,11.35191746817554
152,11.35191746817554
153,13.856859905103896
154,13.856859905103896
155,13.856859905103896
156,13.856859905103896
157,13.856859905103896
158,13.856859905103896
159,13.856859905103896
160,13.856859905103896
161,13.856859905103896
162,13.856859905103896
163,13.856859905103896
164,13.856859905103896
165,13.856859905103896
166,18.746324805453288
167,23.527745363800694
168,23.527745363800694
169,23.527745363800694
170,23.527745363800694
171,23.527745363800694
172,23.527745363800694
173,23.527745363800694
174,23.527745363800694
175,23.527745363800694
176,23.527745363800694
177,23.527745363800694
178,23.527745363800694
179,23.527745363800694
180,23.527745363800694
181,23.527745363800694
182,23.527745363800694
183,23.527745363800694
184,23.527745363800694
185,23.527745363800694
186,23.527745363800694
187,23.527745363800694
188,23.527745363800694
189,23.527745363800694
190,23.527745363800694
191,23.527745363800694
192,23.527745363800694
193,23.527745363800694
194,23.527745363800694
195,23.527745363800694
196,23.527745363800694
197,23.527745363800694
198,23.527745363800694
199,23.527745363800694
200,23.527745363800694
201,23.527745363800694
202,23.527745363800694
203,23.527745363800694
204,23.527745363800694
205,23.527745363800694
206,23.527745363800694
207,23.527745363800694
208,23.527745363800694
209,23.527745363800694
210,23.527745363800694
211,23.527745363800694
212,23.527745363800694
213,23.527745363800694
214,23.527745363800694
215,23.527745363800694
216,23.527745363800694
217,23.527745363800694
218,23.527745363800694
219,23.527745363800694
220,23.527745363800694
221,23.527745363800694
222,23.527745363800694
223,23.527745363800694
224,23.527745363800694
225,23.527745363800694
226,23.527745363800694
227,23.527745363800694
228,23.527745363800694
229,23.527745363800694
230,23.527745363800694
231,23.527745363800694
232,23.527745363800694
233,23.527745363800694
234,25.20993552698464
235,25.20993552698464
236,25.20993552698464
237,25.20993552698464
238,25.20993552698464
239,25.20993552698464
240,25.20993552698464
241,25.20993552698464
242,25.20993552698464
243,25.20993552698464
244,25.20993552698464
245,25.20993552698464
246,25.20993552698464
247,25.20993552698464
248,25.20993552698464
249,25.20993552698464
250,25.20993552698464
251,25.20993552698464
252,25.20993552698464
253,25.20993552698464
254,25.20993552698464
255,25.20993552698464
256,25.20993552698464
257,25.20993552698464
258,25.20993552698464
259,25.20993552698464
260,25.20993552698464
261,25.20993552698464
262,25.20993552698464
263,25.20993552698464
264,25.20993552698464
265,25.975515949124986
266,25.975515949124986
267,25.975515949124986
268,25.975515949124986
269,25.975515949124986
270,25.975515949124986
271,25.975515949124986
272,25.975515949124986
273,25.975515949124986
274,25.975515949124986
275,25.975515949124986
276,25.975515949124986
277,25.975515949124986
278,25.975515949124986
279,25.975515949124986
280,25.975515949124986
281,25.975515949124986
282,25.975515949124986
283,25.975515949124986
284,25.975515949124986
285,27.581629647747082
286,27.581629647747082
287,27.581629647747082
288,27.581629647747082
289,27.581629647747082
290,27.581629647747082
291,27.581629647747082
292,27.581629647747082
293,27.581629647747082
294,32.87172298829485
295,32.87172298829485
296,32.87172298829485
297,32.87172298829485
298,32.87172298829485
299,32.87172298829485
300,32.87172298829485
301,32.87172298829485
302,32.87172298829485
303,32.87172298829485
304,32.87172298829485
305,32.87172298829485
306,32.87172298829485
307,32.87172298829485
308,32.87172298829485
309,42.74839011652031
310,42.74839011652031
311,42.74839011652031
312,42.74839011652031
313,42.74839011652031
314,42.74839011652031
315,42.74839011652031
316,42.74839011652031
317,42.74839011652031
318,42.74839011652031
319,42.74839011652031
320,42.74839011652031
321,43.94650580312333
322,43.94650580312333
323,43.94650580312333
324,43.94650580312333
325,43.94650580312333
326,43.94650580312333
327,43.94650580312333
328,43.94650580312333
329,43.94650580312333
330,43.94650580312333
331,43.94650580312333
332,43.94650580312333
333,43.94650580312333
334,43.94650580312333
335,43.94650580312333
336,43.94650580312333
337,43.94650580312333
338,43.94650580312333
339,43.94650580312333
340,43.94650580312333
341,43.94650580312333
342,43.94650580312333
343,43.94650580312333
344,43.94650580312333
345,43.94650580312333
346,43.94650580312333
347,43.94650580312333
348,43.94650580312333
349,43.94650580312333
350,43.94650580312333
351,43.94650580312333
352,43.94650580312333
353,43.94650580312333
354,43.94650580312333
355,43.94650580312333
356,43.94650580312333
357,43.94650580312333
358,43.94650580312333
359,43.94650580312333
360,43.94650580312333
361,47.9550204304653
362,48.755020430465294
363,48.755020430465294
364,48.755020430465294
365,48.755020430465294
366,48.755020430465294
367,48.755020430465294
368,48.755020430465294
369,48.755020430465294
370,48.755020430465294
371,48.755020430465294
372,53.34355810073497
373,56.665650135339284
374,56.665650135339284
375,59.9723715602267
376,60.1723715602267
377,60.1723715602267
378,60.1723715602267
