Zeit	Simulationszeit	ID	ContrId	SignalId	FromStage	ToStage	LogicalLength	RealLength	TAID1	TBID1	TAID2	TBID2	BufferValue
14:14:58	0	1	2	-1	1	2	5	4	0	1	0	0	0
14:14:58	0	2	2	-1	1	3	7	6	0	2	0	0	0
14:14:58	0	3	2	-1	2	1	4	3	0	3	0	0	0
14:14:58	0	4	2	-1	2	3	4	3	0	4	0	0	0
14:14:58	0	5	2	-1	3	1	9	8	0	5	0	0	0
14:14:58	0	6	2	-1	3	2	9	8	0	6	0	0	0
14:14:58	0	1	3	-1	1	2	5	4	0	1	0	0	0
14:14:58	0	2	3	-1	1	3	7	6	0	2	0	0	0
14:14:58	0	3	3	-1	2	1	4	3	0	3	0	0	0
14:14:58	0	4	3	-1	2	3	4	3	0	4	0	0	0
14:14:58	0	5	3	-1	3	1	4	3	0	5	0	0	0
14:14:58	0	6	3	-1	3	2	4	3	0	6	0	0	0
14:14:58	0	1	4	-1	1	2	4	3	0	1	0	0	0
14:14:58	0	2	4	-1	1	3	11	10	0	2	0	0	0
14:14:58	0	3	4	-1	1	4	11	10	0	3	0	0	0
14:14:58	0	4	4	-1	2	1	6	5	0	4	0	0	0
14:14:58	0	5	4	-1	2	3	6	5	0	5	0	0	0
14:14:58	0	6	4	-1	2	4	6	5	0	6	0	0	0
14:14:58	0	7	4	-1	3	1	9	8	0	7	0	0	0
14:14:58	0	8	4	-1	3	2	9	8	0	8	0	0	0
14:14:58	0	9	4	-1	3	4	5	4	0	9	0	0	0
14:14:58	0	10	4	-1	4	1	6	5	0	10	0	0	0
14:14:58	0	11	4	-1	4	2	5	4	0	11	0	0	0
14:14:58	0	12	4	-1	4	3	7	6	0	12	0	0	0
14:14:58	0	1	5	-1	1	2	5	4	0	1	0	0	0
14:14:58	0	2	5	-1	1	3	8	7	0	2	0	0	0
14:14:58	0	3	5	-1	2	1	5	4	0	3	0	0	0
14:14:58	0	4	5	-1	2	3	4	3	0	4	0	0	0
14:14:58	0	5	5	-1	3	1	7	6	0	5	0	0	0
14:14:58	0	6	5	-1	3	2	7	6	0	6	0	0	0
14:14:58	0	1	6	-1	1	2	5	4	0	1	0	0	0
14:14:58	0	2	6	-1	1	3	7	6	0	2	0	0	0
14:14:58	0	3	6	-1	2	1	4	3	0	3	0	0	0
14:14:58	0	4	6	-1	2	3	5	4	0	4	0	0	0
14:14:58	0	5	6	-1	3	1	5	4	0	5	0	0	0
14:14:58	0	6	6	-1	3	2	5	4	0	6	0	0	0
14:14:58	0	1	8	-1	1	2	6	5	0	1	0	0	0
14:14:58	0	2	8	-1	2	1	6	5	0	2	0	0	0
14:14:58	0	1	9	-1	1	2	7	6	0	1	0	0	0
14:14:58	0	2	9	-1	2	1	4	3	0	2	0	0	0
14:14:58	0	1	10	-1	1	2	5	4	0	1	0	0	0
14:14:58	0	2	10	-1	1	3	7	6	0	2	0	0	0
14:14:58	0	3	10	-1	2	1	4	3	0	3	0	0	0
14:14:58	0	4	10	-1	2	3	4	3	0	4	0	0	0
14:14:58	0	5	10	-1	3	1	9	8	0	5	0	0	0
14:14:58	0	6	10	-1	3	2	9	8	0	6	0	0	0
14:14:58	0	1	12	-1	1	2	6	5	0	1	0	0	0
14:14:58	0	2	12	-1	2	1	6	5	0	2	0	0	0
14:14:58	0	1	13	-1	1	2	7	6	0	1	0	0	0
14:14:58	0	2	13	-1	2	1	7	6	0	2	0	0	0
14:14:58	0	1	15	-1	1	2	4	3	0	1	0	0	0
14:14:58	0	2	15	-1	2	1	4	3	0	2	0	0	0
14:14:58	0	1	16	-1	1	2	4	3	0	1	0	0	0
14:14:58	0	2	16	-1	2	1	4	3	0	2	0	0	0
14:14:58	0	1	17	-1	1	2	4	3	0	1	0	0	0
14:14:58	0	2	17	-1	1	3	10	9	0	2	0	0	0
14:14:58	0	3	17	-1	1	4	10	9	0	3	0	0	0
14:14:58	0	4	17	-1	2	1	4	3	0	4	0	0	0
14:14:58	0	5	17	-1	2	3	10	9	0	5	0	0	0
14:14:58	0	6	17	-1	2	4	10	9	0	6	0	0	0
14:14:58	0	7	17	-1	3	1	8	7	0	7	0	0	0
14:14:58	0	8	17	-1	3	2	8	7	0	8	0	0	0
14:14:58	0	9	17	-1	3	4	4	3	0	9	0	0	0
14:14:58	0	10	17	-1	4	1	8	7	0	10	0	0	0
14:14:58	0	11	17	-1	4	2	8	7	0	11	0	0	0
14:14:58	0	12	17	-1	4	3	4	3	0	12	0	0	0
14:14:58	0	1	33	-1	1	2	7	6	0	1	0	0	0
14:14:58	0	2	33	-1	1	3	7	6	0	2	0	0	0
14:14:58	0	3	33	-1	2	1	4	3	0	3	0	0	0
14:14:58	0	4	33	-1	2	3	5	4	0	4	0	0	0
14:14:58	0	5	33	-1	3	1	10	9	0	5	0	0	0
14:14:58	0	6	33	-1	3	2	10	9	0	6	0	0	0
