SGRGISID SGR MIN_ORIG MIN_BAL MAX_ORIG MAX_BAL
2001 sg1l 5 17 5 17
2002 sg1sr 51 30 51 30
2003 sg2 20 29 20 29
2004 sg3l 5 17 5 17
2005 sg3sr 51 30 51 30
2006 sg4 21 30 21 30
2007 crosswalk1s 25 34 25 34
2008 crosswalk1n 22 31 22 31
2009 crosswalk2 55 34 55 34
2010 crosswalk3n 25 34 25 34
2011 crosswalk3s 22 31 22 31
2012 crosswalk4 55 34 55 34
3001 sg1l 5 11 5 11
3002 sg1sr 45 33 45 33
3003 sg2 31 37 31 37
3004 sg3l 5 11 5 11
3005 sg3sr 45 33 45 33
3006 sg4 32 38 32 38
3007 crosswalk2 44 32 44 32
3008 crosswalk4 44 32 44 32
4001 sg1l 12 5 12 5
4002 sg1sr 36 25 36 25
4003 sg2l 11 14 11 14
4004 sg2sr 16 31 16 31
4005 sg3l 12 5 12 5
4006 sg3sr 37 26 37 26
4007 sg4l 11 14 11 14
4008 sg4sr 16 31 16 31
4021 crosswalk1s 25 40 25 40
4022 crosswalk1n 24 39 24 39
4023 crosswalk2e 44 33 44 33
4024 crosswalk2w 43 32 43 32
4025 crosswalk3n 25 40 25 40
4026 crosswalk3s 24 39 24 39
4027 crosswalk4w 44 33 44 33
4028 crosswalk4e 43 32 43 32
5001 sg1l 6 19 6 19
5002 sg1sr 66 42 66 42
5003 sg2 7 18 7 18
5004 sg3l 5 18 5 18
5005 sg3sr 65 41 65 41
5006 sg4 8 19 8 19
5007 crosswalk1s 11 22 11 22
5008 crosswalk1n 8 19 8 19
5009 crosswalk2 67 43 67 43
5010 crosswalk3n 12 23 12 23
5011 crosswalk3s 8 19 8 19
5012 crosswalk4 67 43 67 43
6001 sg1l 6 15 6 15
6002 sg1sr 55 75 55 75
6003 sg2 47 58 47 58
6004 sg3 28 8 28 8
6005 crosswalk3 46 57 46 57
8001 sg1 75 48 75 48
8002 sg2 5 32 5 32
8003 sg3 75 48 75 48
8004 crosswalk1 8 35 8 35
8005 crosswalk2 79 52 79 52
8006 crosswalk3 8 35 8 35
9001 sg1 15 19 15 19
9002 sg2 69 65 69 65
9003 sg3 15 19 15 19
9004 sg4 69 65 69 65
9005 crosswalk1 66 62 66 62
9006 crosswalk3 68 64 68 64
10001 sg1 10 14 10 14
10002 sg2l 5 5 5 5
10003 sg2sr 62 58 62 58
10004 sg4l 6 6 6 6
10005 sg4sr 62 58 62 58
10006 crosswalk1 68 64 68 64
10007 crosswalk2e 15 19 15 19
10008 crosswalk2w 11 15 11 15
10009 crosswalk3 66 62 66 62
10010 crosswalk4w 14 18 14 18
10011 crosswalk4e 11 15 11 15
12001 sg2 66 58 66 58
12002 sg3 14 22 14 22
12003 sg4 66 58 66 58
12004 crosswalk1 69 61 69 61
12005 crosswalk2 16 24 16 24
12006 crosswalk3 70 62 70 62
12007 crosswalk4 16 24 16 24
13001 sg1 37 44 37 44
13002 sg2 43 36 43 36
13003 sg3 35 42 35 42
13004 sg4 43 36 43 36
13005 crosswalk1 47 40 47 40
13006 crosswalk2 39 46 39 46
13007 crosswalk3 47 40 47 40
13008 crosswalk4 39 46 39 46
15001 sg1 36 39 36 39
15002 sg2 48 45 48 45
15003 sg3 36 39 36 39
15004 sg4 48 45 48 45
15005 crosswalk1 48 45 48 45
15006 crosswalk2 36 39 36 39
15007 crosswalk3 48 45 48 45
15008 crosswalk4 36 39 36 39
16001 sg1 43 41 43 41
16002 sg2 41 43 41 43
16003 sg3 43 41 43 41
16004 sg4 41 43 41 43
16005 crosswalk1 41 43 41 43
16006 crosswalk2 43 41 43 41
16007 crosswalk3 41 43 41 43
16008 crosswalk4 43 41 43 41
17001 sg1 6 6 6 6
17002 sg2 27 45 27 45
17003 sg3 28 15 28 15
17004 sg4l 10 5 10 5
17005 sg4sr 37 50 37 50
17006 crosswalk1 42 55 42 55
17007 crosswalk2e 44 31 44 31
17008 crosswalk2w 44 31 44 31
17009 crosswalk3 46 59 46 59
17010 crosswalk4w 46 33 46 33
17011 crosswalk4e 42 29 42 29
33001 sg1 44 29 44 29
33002 sg2 26 30 26 30
33003 sg3l 6 17 6 17
33004 sg3sr 52 48 52 48
33005 crosswalk1s 29 33 29 33
33006 crosswalk1n 29 33 29 33
33007 crosswalk2 47 32 47 32
33008 crosswalk3n 32 36 32 36
33009 crosswalk3s 27 31 27 31
