Time	SimulationTime	Group	SPR	LSA	FVSGR	Link	LinkGisId	Lanes	Tgr[s]	OrigTgr	CycleTime	Q[veh/h]	QMod[veh/h]	QAdded[veh/h]	QueueLength[veh]	QueueLengthDet[veh]	QueueLengthSto(KiHo)[veh]	ResidualQueue[veh]	Delay[s/tInt]	Delay[s/veh]	DelayDet[s/veh]	DelaySto(KiHo)[s/veh]	Saturation[-]	MaxCap[veh/h]	NumberStops[/TCyc]	ShareStopingVeh[-]	PI(SGrelated)	AverageSpeed[km/h]	LOS	OffsetOpt	TargetLinks	FixedTime	PI
12:29:20	06:35:01	-2	1	2	sg1l	21	21	4	5	0	90	12	12	0	0.42	0.30	0.12	0.00	115	58.00	56.15	1.85	0.12	1800	0.30	0.99	135.04	17.20	1	0	"200"	1	32714.76
12:29:20	06:35:01	-2	1	2	sg1sr	21	21	1	51	0	90	108	152	0	1.77	1.65	0.11	0.00	210	11.67	11.50	0.18	0.11	1750	1.81	0.67	754.69	36.13	1	1	"190-11"	1	32714.76
12:29:20	06:35:01	-2	1	2	sg1sr	21	21	2	51	0	90	144	159	0	2.35	2.20	0.15	0.00	289	12.05	11.84	0.22	0.14	1850	2.47	0.69	754.69	35.81	1	1	"11"	1	32714.76
12:29:20	06:35:01	-2	1	2	sg2	191	191	1	20	0	90	72	68	0	1.59	1.40	0.19	0.00	348	29.07	28.34	0.73	0.18	1850	1.44	0.80	436.76	24.97	2	0	"11-20-200"	1	32714.76
12:29:20	06:35:01	-2	1	2	sg3l	10	10	4	5	0	90	0	2	0	0.02	0.00	0.02	0.00	0	0.32	0.00	0.32	0.02	1800	0.00	0.00	0.34	49.79	1	0	"190"	1	32714.76
12:29:20	06:35:01	-2	1	2	sg3sr	10	10	1	51	0	90	360	276	0	4.34	3.90	0.44	0.00	687	11.46	10.64	0.82	0.36	1750	4.90	0.54	1892.45	43.47	1	0	"200-20"	1	32714.76
12:29:20	06:35:01	-2	1	2	sg3sr	10	10	2	51	0	90	348	253	0	4.16	3.77	0.39	0.00	642	11.08	10.41	0.68	0.33	1850	4.64	0.53	1892.45	43.65	1	0	"20"	1	32714.76
12:29:20	06:35:01	-2	1	2	sg4	201	201	1	21	0	90	60	58	0	1.27	1.12	0.15	0.00	179	17.94	17.41	0.53	0.14	1850	1.16	0.77	249.99	24.39	1	1	"11-20-190"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg1l	391	391	4	5	0	90	0	20	0	0.21	0.00	0.21	0.00	12	3.49	0.00	3.49	0.21	1800	0.00	0.00	14.16	38.74	1	0	"240"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg1sr	391	391	1	45	0	90	144	132	0	1.96	1.78	0.18	0.00	226	9.42	9.10	0.32	0.16	1750	1.84	0.51	703.45	28.02	1	1	"230-21"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg1sr	391	391	2	45	0	90	156	157	0	2.11	1.93	0.18	0.00	245	9.43	9.12	0.31	0.17	1850	1.99	0.51	703.45	28.00	1	1	"21"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg2	231	231	1	31	0	90	84	71	0	1.83	1.69	0.14	0.00	418	29.89	29.53	0.36	0.14	1800	1.72	0.82	522.85	17.01	2	1	"21-240-390"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg3l	20	20	4	5	0	90	12	11	0	0.41	0.29	0.12	0.00	76	38.32	36.47	1.85	0.12	1800	0.29	0.98	95.40	22.13	1	0	"230"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg3sr	20	20	1	45	0	90	252	271	0	1.95	1.64	0.31	0.00	226	5.40	4.82	0.58	0.27	1850	2.69	0.43	761.38	42.46	1	1	"240-390"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg3sr	20	20	2	45	0	90	252	253	0	1.95	1.64	0.31	0.00	226	5.40	4.82	0.58	0.27	1850	2.69	0.43	761.38	42.46	1	1	"390"	1	32714.76
12:29:20	06:35:01	-2	1	3	sg4	241	241	1	32	0	90	48	50	0	1.05	0.97	0.08	0.00	233	29.14	28.95	0.19	0.08	1750	0.98	0.82	292.75	19.98	2	1	"21-230-390"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg1l	461	461	4	12	0	90	0	0	0	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	1800	0.00	-1	0.00	50.00	1	0	"520"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg1sr	461	461	1	36	0	90	216	159	0	3.71	3.35	0.36	0.00	724	20.11	19.21	0.91	0.31	1750	3.48	0.64	1473.05	20.20	2	1	"500-400"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg1sr	461	461	2	36	0	90	132	105	0	2.24	2.05	0.19	0.00	410	18.67	18.25	0.42	0.18	1850	2.10	0.64	1473.05	21.11	1	1	"400"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg2l	501	501	8	11	0	90	60	72	0	1.64	1.34	0.30	0.00	333	33.32	30.96	2.36	0.27	1800	1.37	0.91	417.88	17.85	2	1	"460"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg2sr	501	501	1	16	0	90	204	189	0	4.44	3.47	0.97	0.00	1226	36.07	29.54	6.53	0.62	1850	3.95	0.77	1980.72	16.95	3	1	"400-520"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg2sr	501	501	4	16	0	90	0	58	0	0.19	0.00	0.19	0.00	8	0.92	0.00	0.92	0.18	1850	0.00	0.00	1980.72	47.63	1	0	"520"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg2sr	501	501	2	16	0	90	84	73	0	1.71	1.43	0.28	0.00	411	29.41	27.95	1.46	0.26	1850	1.46	0.69	1980.72	19.31	2	1	"520"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg3l	401	401	4	12	0	90	48	38	0	1.29	1.07	0.21	0.00	225	28.16	26.70	1.45	0.20	1800	1.10	0.91	585.78	15.63	2	1	"500"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg3sr	401	401	1	37	0	90	276	264	0	2.09	1.62	0.47	0.00	478	10.41	9.18	1.22	0.38	1750	1.72	0.25	1657.29	27.58	1	1	"520-460"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg3sr	401	401	2	37	0	90	252	281	0	1.87	1.48	0.39	0.00	421	10.04	9.12	0.93	0.33	1850	1.57	0.25	1657.29	28.03	1	1	"460"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg4l	521	521	8	11	0	90	120	93	0	3.66	2.90	0.76	0.00	802	40.14	33.00	7.14	0.55	1800	2.95	0.98	986.92	15.78	3	1	"400"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg4sr	521	521	1	16	0	90	96	90	0	2.33	2.00	0.33	0.00	320	20.01	18.26	1.75	0.29	1850	2.10	0.88	1367.20	24.03	2	1	"460-500"	1	32714.76
12:29:20	06:35:01	-2	1	4	sg4sr	521	521	2	16	0	90	168	68	0	4.19	3.49	0.70	0.00	671	23.98	19.66	4.32	0.51	1850	3.81	0.91	1367.20	21.78	2	1	"500"	1	32714.76
