episode,Agent2 loss,Agent2 Average_Reward
0,[5066.56640625],-220.2473488922188
1,[4442.5244140625],-194.482514056352
2,[3072.34814453125],-161.91286950450137
3,[2095.118896484375],-169.9626631206419
4,[1007.108154296875],-173.40153604696255
5,[907.7125244140625],-224.53069638744444
6,[493.3599853515625],-184.76861043938024
7,[401.6995544433594],-176.05405672510096
8,[700.558349609375],-195.2822984365648
9,[1149.2091064453125],-188.23004836950216
10,[4299.2548828125],-180.19965718417868
11,[3180.350830078125],-165.75699597360645
12,[1825.2786865234375],-170.34417685248536
13,[1308.0440673828125],-129.13448449379283
14,[981.8505859375],-148.50486797632888
15,[920.38427734375],-146.1206062995413
16,[1367.89306640625],-143.01074600781422
17,[1778.3590087890625],-163.28550694730757
18,[1228.9769287109375],-144.29245924720738
19,[1666.7894287109375],-189.20937353329475
20,[4537.30712890625],-148.87078052653928
21,[4518.35400390625],-212.54063058021688
22,[3554.453857421875],-157.06029320173613
23,[2348.8515625],-174.03688013001548
24,[1858.011474609375],-141.8436560834118
25,[1636.396240234375],-130.53208084858537
26,[1771.20849609375],-147.31855830198393
27,[3198.598388671875],-150.41401665878178
28,[3050.50732421875],-216.11679115322508
29,[3041.74560546875],-161.53604665911834
30,[4205.6630859375],-155.0943369423585
31,[4253.779296875],-128.518569154055
32,[5308.703125],-190.17660862644388
33,[4487.31396484375],-170.9323725545534
34,[4168.025390625],-150.76316814686996
35,[3235.83203125],-131.30473180534
36,[4770.56689453125],-120.7719076929772
37,[3476.5595703125],-109.77896580807784
38,[3742.61865234375],-136.97616730254944
39,[3248.89306640625],-122.28052363531968
40,[4110.2314453125],-132.55699642174147
41,[4840.64453125],-147.3842224026714
42,[5243.0068359375],-124.35654685313037
43,[3163.814697265625],-113.63581526499348
44,[4272.71923828125],-134.3835429175326
45,[4514.02783203125],-133.60926341846104
46,[5539.08642578125],-135.5599613015213
47,[5812.43994140625],-177.54771125656183
48,[4460.15185546875],-145.9800996634204
49,[3258.50048828125],-116.07081903509399
50,[5687.6318359375],-124.10746939585005
51,[4760.25048828125],-118.26744901964443
52,[4384.50439453125],-112.52274002068772
53,[5593.3173828125],-127.59083456195948
54,[4849.4013671875],-116.96328200647993
55,[5163.6064453125],-111.851632937708
56,[3783.10205078125],-115.19280251935223
57,[4291.28173828125],-119.18234103019607
58,[5233.31982421875],-130.7026163316791
59,[3632.585205078125],-110.71560045822436
60,[4385.01513671875],-96.15129353820078
61,[3603.4951171875],-128.24842990503709
62,[3347.525390625],-104.45333422368952
63,[3248.57666015625],-111.42908233074168
64,[4330.75341796875],-113.06049673365922
65,[3871.464111328125],-116.67666658292761
66,[3547.51416015625],-104.14948741446113
67,[4630.2734375],-124.70282211008647
68,[4225.65966796875],-111.56098745822757
69,[2739.685791015625],-119.28737724228507
70,[3378.199951171875],-103.45346845526066
71,[4177.65966796875],-89.25470076631635
72,[3360.6611328125],-106.36609940485705
73,[5297.01220703125],-165.97541701621583
74,[4607.58349609375],-102.77919915258605
75,[4137.830078125],-100.84908579113338
76,[4109.345703125],-95.66655146598241
77,[4495.72802734375],-100.77452926159651
78,[4057.8037109375],-116.35304911609457
79,[4077.80224609375],-105.01719491664839
80,[3402.372314453125],-107.56618748034064
81,[2930.766357421875],-110.92333796580792
82,[3833.619384765625],-112.21811499608735
83,[3446.072998046875],-105.30343879742902
84,[4019.56005859375],-108.45997731890932
85,[3475.866943359375],-104.35386704821094
86,[3882.41845703125],-93.61178473343001
87,[3498.981689453125],-96.8794127810523
88,[3556.295654296875],-100.63197984325063
89,[4054.147216796875],-105.23609712449723
90,[4184.7939453125],-103.32084321239465
91,[4362.60009765625],-105.43696218216091
92,[3799.309326171875],-97.82916343148773
93,[2709.350341796875],-104.39823442042568
94,[3748.376953125],-96.76850787153785
95,[3252.16845703125],-94.23147327908904
96,[3428.850830078125],-96.82698661438307
97,[2595.997802734375],-98.52911324896083
98,[4139.3349609375],-99.55282094017346
99,[4056.94091796875],-95.79419734259783
100,[2459.182373046875],-98.20566829228656
101,[3004.242431640625],-104.98612705317099
102,[2694.468505859375],-108.94066611314527
103,[3442.2294921875],-100.53842470577365
104,[2544.895263671875],-88.10131922269451
105,[1919.7738037109375],-96.61107432579333
106,[3373.32080078125],-99.40917230253599
107,[2309.80419921875],-97.46067791681777
108,[2473.25537109375],-92.76835742188483
109,[2875.590087890625],-96.23203997121763
110,[2399.9140625],-96.41345577321037
111,[2887.45556640625],-95.361465701219
112,[2044.16357421875],-96.67760344526454
113,[2195.620361328125],-96.32846910159604
114,[1405.492919921875],-101.53688132288724
115,[2019.0084228515625],-96.16137036148443
