episode,Agent0 loss,Agent0 Average_Reward
0,7218209.5,-601.1110678219903
1,7370571.5,-616.3261934155648
2,7186790.0,-597.2849771984208
3,7332384.5,-590.312622312369
4,7175981.5,-607.0169592392057
5,7092716.0,-596.1877480181709
6,7042808.0,-593.1669341550564
7,7082343.5,-601.544946304772
8,6814830.5,-596.0673217363851
9,6876488.0,-603.3213402152331
10,6983156.5,-613.9269529728258
11,6864401.5,-603.5329652330942
12,6763000.0,-600.3769192207799
13,6849136.5,-600.6194576573398
14,6571830.0,-604.763083852097
15,6470235.5,-606.1585698185577
16,6488678.0,-602.8217904692228
17,6550654.5,-619.9615914457553
18,3769583.25,-492.17626809848036
19,48691.55078125,-73.00778507054277
20,17884.294921875,-37.68235151531828
21,8354.412109375,-21.72615647458336
22,1624.2696533203125,-21.82577675762079
23,2279.678955078125,-21.52902202843807
24,15978.0693359375,-20.21809470295134
25,601.69873046875,-21.909824253868276
26,5837140.0,-602.2555843368762
27,23199.400390625,-23.149766778111182
28,17581.880859375,-22.84585635794361
29,5604324.0,-604.0090906602172
30,27546.125,-22.3446089847813
31,625.5972290039062,-21.555624256208098
32,2875.016357421875,-20.82926208842876
33,2748.335693359375,-19.834618369360534
34,8890.3564453125,-21.84831554955284
35,28529.1796875,-19.62654545825528
36,21228.701171875,-22.992486988997147
37,17810.908203125,-21.31583045393786
38,8530.83984375,-22.101277509326007
39,3750.907470703125,-17.217922507915777
40,3971.2021484375,-21.81662691470842
41,14637.6689453125,-23.5925921577306
42,19658.9140625,-19.722077096629707
43,8680.3798828125,-21.4360713241507
44,7797.2421875,-24.50573069463248
45,6395.22509765625,-24.010160862163158
46,3542.2021484375,-20.884274553106792
47,23405.865234375,-24.17169585743008
48,3453.982177734375,-20.410841829666
49,6315.39697265625,-23.229439814046373
50,11251.7177734375,-23.390895196322397
51,18381.4140625,-22.17528076033321
52,4048517.0,-607.104525186374
53,1863.7996826171875,-23.39173426469954
54,11850.1142578125,-24.75502390492899
55,9860.4111328125,-24.24896778032526
56,23020.275390625,-22.316181752849406
57,4989.12353515625,-21.7609916806599
58,4030.953369140625,-21.60312948333655
59,13151.85546875,-22.805230862507102
60,26186.201171875,-21.950330867933815
61,6131.55029296875,-23.428786025272444
62,2677.791015625,-20.61415273179873
63,7219.341796875,-22.288420544581047
64,39316.75390625,-22.84479470641613
65,31990.171875,-23.169438811968323
66,7924.80810546875,-20.191680544331568
67,8350.3603515625,-21.422334561194226
68,7478.2734375,-23.315448209203584
69,12732.5205078125,-21.467174614255406
70,3775.6650390625,-20.696717708449683
71,30404.154296875,-20.979843027912903
72,3576918.75,-604.6141869714804
73,7081.86181640625,-21.97712717325776
74,9735.7548828125,-21.72052109622676
75,3083.905029296875,-20.521891505507313
76,11174.2763671875,-20.25747709809561
77,10831.0634765625,-23.210410655106113
78,21016.650390625,-22.68738915801899
79,10773.8740234375,-21.864124418078934
80,21916.599609375,-21.8244348030213
81,20169.619140625,-20.726791505553912
82,2669.255615234375,-26.429145405385103
83,4955.22119140625,-21.91009505696346
84,4502.50439453125,-23.940952571418467
85,2461.295166015625,-23.206704961013763
86,3711.268310546875,-21.76735637078958
87,6792.45068359375,-21.93313973411306
88,19496.673828125,-20.161006621089587
89,5798.06982421875,-24.92215867960691
90,4069.087890625,-23.86516200507583
91,6114.5234375,-23.979071958753863
92,11088.8916015625,-21.94533844915466
93,18395.201171875,-23.568386281853037
94,6874.31884765625,-22.69175263010423
95,11972.515625,-19.59059886417797
96,9445.9599609375,-23.387893629397215
97,12342.11328125,-22.989050135548727
98,4401.54931640625,-22.75216334038175
99,2623.16259765625,-21.549929416879966
