episode,Agent0 loss,Agent0 Average_Reward
0,[4505.47314453125],-195.53151386448388
1,[4040.759765625],-194.60685312537515
2,[3689.943359375],-180.0273378788238
3,[2718.291748046875],-176.36706665728548
4,[1898.00439453125],-175.6454998722967
5,[1335.819580078125],-205.3796571779307
6,[841.2240600585938],-182.76844148576845
7,[466.36395263671875],-194.69931567783664
8,[439.6499328613281],-134.35752642360148
9,[834.723388671875],-166.85647291672996
10,[854.23291015625],-165.7785456718972
11,[914.9583129882812],-152.14439298602412
12,[706.0111083984375],-151.0938754136896
13,[557.1744995117188],-150.284415711335
14,[319.4218444824219],-131.79874263902306
15,[208.8963623046875],-139.9325852512743
16,[281.6585998535156],-137.0069752369933
17,[421.1584777832031],-150.3468657654364
18,[418.5829162597656],-124.04423218691832
19,[433.3319091796875],-135.31758687662034
20,[2464.93701171875],-127.4434330103814
21,[1877.2137451171875],-126.28830180347722
22,[1841.6171875],-125.47498555917012
23,[1527.21435546875],-130.43369981755907
24,[1278.9169921875],-127.30779795716175
25,[728.3699340820312],-121.8499771456516
26,[454.58966064453125],-120.05777069120313
27,[454.3018798828125],-113.99800893646061
28,[503.869384765625],-148.63279361405986
29,[657.0552978515625],-124.86314593723509
30,[1055.6202392578125],-134.16866298627434
31,[733.4380493164062],-125.38590545139625
32,[754.2548828125],-130.63928237846378
33,[614.2852783203125],-139.6655801447984
34,[463.2647399902344],-132.48615275944388
35,[544.3076171875],-125.20353068350767
36,[541.3307495117188],-128.63684771939515
37,[626.3960571289062],-114.24188083737575
38,[533.8352661132812],-130.35627093270674
39,[444.0807189941406],-101.051998494625
40,[1452.5360107421875],-112.5997806495713
41,[1469.064697265625],-127.56222150755423
42,[1552.9661865234375],-113.11590243870823
43,[1045.7059326171875],-107.46865201334636
44,[1194.1002197265625],-139.41021997920475
45,[1047.9443359375],-157.92617100477509
46,[699.8392333984375],-135.4135415919895
47,[784.2800903320312],-113.54737730354444
48,[1160.2191162109375],-118.90849207287026
49,[1121.9957275390625],-124.56463043193487
50,[1083.8145751953125],-134.45337291444514
51,[1119.256591796875],-130.33819820481781
52,[641.9845581054688],-116.12412354705084
53,[758.6150512695312],-127.16382263080656
54,[679.68115234375],-123.2864839852895
55,[682.7445068359375],-129.29717782733422
56,[984.9141235351562],-138.21095356414156
57,[908.3400268554688],-117.90744871704703
58,[609.5293579101562],-126.79472668610727
59,[582.2357177734375],-122.16057655432634
60,[1377.14892578125],-111.55479809165047
61,[1255.808837890625],-110.3618790085847
62,[929.7499389648438],-113.49908819579923
63,[761.5679321289062],-106.94577064127338
64,[794.1505737304688],-121.81916156272301
65,[938.9849853515625],-124.33133924651598
66,[1036.9365234375],-114.3557475216545
67,[1056.72412109375],-103.17653360873136
68,[853.0025024414062],-111.27364514794698
69,[809.0847778320312],-118.9064077321393
70,[624.5892333984375],-107.82252348629193
71,[931.9817504882812],-103.68019257040693
72,[804.9107055664062],-107.59079692794458
73,[982.3944091796875],-110.0417097626335
74,[822.2191772460938],-114.35967737882227
75,[706.3582153320312],-112.94431966989862
76,[668.4577026367188],-105.23740986454203
77,[812.1693115234375],-97.31558675656387
78,[833.185791015625],-112.74482423893335
79,[849.3289794921875],-104.99988722832488
80,[1184.6966552734375],-113.94974805803821
81,[1048.009521484375],-98.77242457263831
82,[993.8964233398438],-108.42152703849958
83,[952.17529296875],-108.87959897452053
84,[1246.03125],-111.02696041810866
85,[1096.72119140625],-106.7108803935291
86,[1039.3309326171875],-102.15905653560851
87,[1429.8565673828125],-105.66527716352556
88,[1153.74609375],-106.42818423826952
89,[1044.3519287109375],-110.07944932051855
90,[1178.3798828125],-104.0395039445551
