Time,MOVA0,MOVA1,MOVA2,MOVA3,Cyclic0,Cyclic1,Cyclic2,Cyclic3,DuellingDDQN0,DuellingDDQN1,DuellingDDQN2,DuellingDDQN3,DuellingDQN0,DuellingDQN1,DuellingDQN2,DuellingDQN3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3.7763102466751657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.605704343604648,0.0,0.0,0.0
20,16.186706380314313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.378183580514012,0.0,0.0,0.0,8.360327544413584,0.0,0.0,0.0
21,13.149241486801472,0.0,0.0,0.0,0.0,8.519217978029237,0.0,0.0,20.058698885733452,0.0,0.0,0.0,6.397864738642043,0.0,0.0,5.592492291687863
22,11.741301963157465,0.0,0.0,0.0,0.0,7.518135598345968,0.0,0.0,16.145155793320495,0.0,0.0,0.0,5.513042960586046,0.0,0.0,8.343502732467428
23,11.32769541626276,0.0,0.0,0.0,0.0,5.90451648400591,0.0,0.0,7.382911807764199,0.0,0.0,0.0,0.46536562563815104,0.0,0.0,6.324299448373545
24,11.246972661992743,0.0,0.0,0.0,0.0,5.434069581008838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.503506818621648,0.0,5.6683355040154515
25,11.246972661992743,0.0,0.0,0.0,0.0,5.372173499042958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.041930202827825,0.0,5.55228238384656
26,11.246972661992743,0.0,0.0,0.0,0.0,5.372173499042958,1.2030724913768125,0.0,0.0,0.0,0.0,0.0,0.0,6.690833488213853,0.0,5.5514232166695185
27,11.246972661992743,0.0,0.0,0.0,0.0,5.372173499042958,9.499297661048963,0.0,0.0,0.0,0.0,0.0,0.0,5.870068018276345,0.0,5.5514232166695185
28,11.246972661992743,0.0,0.0,7.157112078833629,0.0,5.372173499042958,6.584904592696892,0.0,0.0,0.0,0.0,6.289965961732071,0.0,6.361752917383607,0.0,5.5514232166695185
29,11.246972661992743,0.0,0.0,7.27503118460786,0.0,5.372173499042958,5.4636711086461816,0.0,0.0,0.0,0.0,7.5454746937926815,0.0,13.437283908536527,0.0,5.5514232166695185
30,11.246972661992743,0.0,0.0,5.6403568544363125,0.0,5.372173499042958,5.192557257012496,0.0,0.0,0.0,0.0,5.730410145486883,0.0,14.842362756050749,0.0,5.5514232166695185
31,11.246972661992743,0.0,0.0,5.169331511310579,0.0,5.372173499042958,5.175520534658119,0.0,0.0,0.0,0.0,5.188261001387806,0.0,16.77984876655719,0.0,5.5514232166695185
32,11.246972661992743,0.0,0.0,5.108067063019263,0.0,5.372173499042958,5.175520534658119,0.0,0.0,0.0,0.0,4.857854246814274,0.0,14.571165800958642,0.0,5.289214267264613
33,11.246972661992743,0.0,0.0,5.108067063019263,0.0,5.372173499042958,5.175520534658119,0.0,0.0,0.0,5.4846266928323635,0.0,0.0,12.952388912961194,0.0,0.0
34,11.246972661992743,0.0,0.0,5.108067063019263,0.0,5.372173499042958,5.175520534658119,0.0,0.0,0.0,8.039516635174431,0.0,0.0,12.473033603660673,0.0,0.0
35,20.258948580031554,0.0,0.0,5.108067063019263,0.0,5.372173499042958,5.175520534658119,0.0,0.0,0.0,5.965051208253925,0.0,0.0,12.408259105316773,0.0,0.0
36,19.465067023995225,0.0,0.0,6.4820970986780475,0.0,5.372173499042958,5.175520534658119,0.0,9.484617557735485,0.0,5.295077380667638,2.3956434482626383,0.0,12.408259105316773,0.0,0.0
37,17.968548077607128,0.0,0.0,9.3186126223928,0.0,5.372173499042958,5.175520534658119,0.0,6.581621650869027,0.0,5.176439256670747,9.3186126223928,0.0,12.408259105316773,0.0,0.0
38,17.560431441071383,0.0,0.0,6.546427000935403,1.0412411269094832,5.372173499042958,5.175520534658119,0.0,5.5029330173626265,0.0,5.175520534658119,6.546427000935403,0.0,12.408259105316773,0.0,0.0
39,17.515364819873948,0.0,0.0,5.463967555046311,8.104559430961059,5.372173499042958,5.175520534658119,0.0,5.25361574472704,0.0,5.175520534658119,5.463967555046311,0.0,12.408259105316773,0.0,0.0
40,17.515364819873948,0.0,0.0,5.198566081432466,5.906576960792072,5.092076887563212,5.175520534658119,0.0,5.239696078940625,0.0,5.175520534658119,5.198566081432466,0.0,12.408259105316773,0.0,0.0
