episode,Agent0 loss,Agent0 Average_Reward
0,7260714.0,-601.1767630197551
1,7408156.5,-616.4372105546712
2,7421728.0,-604.1469798295741
3,7315338.0,-608.03107043651
4,7223034.5,-607.0337879411823
5,7273164.0,-608.5065501069167
6,7233008.0,-614.4506643391957
7,7056482.5,-603.5338859863981
8,7089138.5,-603.9307177389591
9,7022212.0,-603.3213402152331
10,6950803.5,-603.833463680013
11,7057871.5,-603.5332048646251
12,6878417.5,-601.8612146558318
13,1671669.0,-382.6222531256413
14,3775853.25,-357.7985290929023
15,4720.99365234375,-81.49618238029623
16,23070.478515625,-65.95886799578602
17,1779302.0,-237.44434537870043
18,2589776.75,-63.77584951963405
19,9945.6240234375,-33.002263411922826
20,30315.935546875,-43.27873689143604
21,5058.60205078125,-24.45553111077024
22,1126.269287109375,-26.03212416406501
23,1013.541748046875,-26.21397342432911
24,23569.3515625,-24.690543447322046
25,10484.72265625,-26.117872817318517
26,8625.396484375,-24.605881093403415
27,6230279.5,-596.2790916704789
28,10741.494140625,-25.939307559500175
29,11570.41015625,-21.618050325839214
30,11276.9931640625,-22.902151398957226
31,6093402.0,-604.1148390344033
32,6045801.5,-608.0549267272563
33,2714.037353515625,-20.89160286931132
34,3031.578857421875,-22.51185923505085
35,3345.39453125,-20.65052226590206
36,25059.865234375,-22.833593046572
37,6553.560546875,-21.086998886702034
38,15639.0419921875,-23.452383826831586
39,5571000.5,-610.8786858825671
40,4666.29638671875,-21.460434083938097
41,15051.6953125,-22.269324669784766
42,5238628.5,-608.1339417928425
43,10611.31640625,-22.286042710126747
44,6834.20458984375,-23.389560429803925
45,1905.7315673828125,-23.530280953549003
46,1976.94775390625,-22.53695129296988
47,24797.982421875,-21.20218759107128
48,9736.9208984375,-20.61319440252909
49,12738.5703125,-21.455234500144552
50,3412.957763671875,-21.45156913548319
51,5057.89404296875,-21.870251854178285
52,14047.3759765625,-24.767770631780124
53,32514.8125,-24.56979207646692
54,4046.209716796875,-24.848367845829227
55,8968.9658203125,-24.61645693192138
56,21921.0859375,-23.49531798552321
57,3734.915283203125,-21.163251991067643
58,5312.82373046875,-21.399358319027588
59,6654.56884765625,-23.35633923997175
60,33987.9296875,-22.73662885046612
61,5310.1728515625,-22.774485706595705
62,2139.234619140625,-20.96130475435414
63,24577.3671875,-21.937100513121056
64,21868.9609375,-22.14675552257804
65,28703.376953125,-24.599921751618897
66,4077.444580078125,-21.432988267266527
67,8033.75244140625,-21.85210173156465
68,6297.26171875,-22.675930539218275
69,13364.1064453125,-21.64278334119293
70,23642.248046875,-22.563003280613284
71,16240.0810546875,-20.524617256271927
72,23415.650390625,-22.508903452166933
73,4273.44677734375,-21.04707917304548
74,8697.6708984375,-22.363745135174053
75,981.2551879882812,-22.869409191436887
76,4386.62646484375,-19.715575403631412
77,10455.18359375,-21.264374864286268
78,11568.5361328125,-22.309628549901156
79,31018.59375,-23.719255106442823
80,14135.28125,-21.842386632045148
81,11560.3369140625,-20.93794482651403
82,3937.294677734375,-26.773789567984316
83,4069.145263671875,-22.646725256275943
84,6612.24951171875,-22.61582091819268
85,5979.02734375,-23.261227508028053
86,3908.078857421875,-20.223817404623208
87,6035.36083984375,-21.632424332449446
88,29601.28125,-21.55332695098694
89,6034.025390625,-23.655114786158492
90,4730.61767578125,-20.70738139949684
91,9513.8544921875,-25.77055836596834
92,9439.1376953125,-23.4440895767992
93,8704.9228515625,-23.665335269817913
94,8678.3798828125,-22.691734238899347
95,5024.4052734375,-20.0002259010858
96,3819.636962890625,-25.74566429926898
97,9969.5048828125,-25.231164936832656
98,1774.8851318359375,-24.302766473187216
99,7787.63916015625,-23.24669028685155
