episode,Agent0 loss,Agent0 Average_Reward
0,2672451.5,-361.53036768211734
1,2651943.0,-359.06408872362374
2,2682320.75,-367.0209241802353
3,2563801.25,-359.8978238396812
4,2647979.25,-361.954333025075
5,2596693.25,-357.93721823355634
6,2558606.5,-363.2133580225377
7,7284292.0,-602.984149134368
8,2576147.5,-365.38243215078904
9,1487041.125,-117.68207202320077
10,7141.060546875,-23.650342005624484
11,171116.78125,-83.43555290861097
12,7113884.0,-603.2319582152895
13,15842.3818359375,-28.56474727242546
14,5072.76611328125,-25.06479273767875
15,3967.781494140625,-28.09863892951105
16,26080.6875,-22.468887988971417
17,5021.08447265625,-22.772503239344925
18,2287.48095703125,-22.417529862606994
19,6918.95947265625,-21.96701108127277
20,13653.6015625,-22.7100434810331
21,3250.225341796875,-19.37326514853428
22,3260.354248046875,-19.43026435568649
23,2152.072998046875,-23.6797042108844
24,7133.4375,-21.714901120951705
25,5203.62255859375,-23.227702759621064
26,12963.30078125,-22.93405489063943
27,15205.1337890625,-24.057896979333027
28,16494.509765625,-23.34564748313428
29,16171.5771484375,-19.63664776879903
30,6450931.5,-603.4792237491383
31,871.17578125,-21.44174756675896
32,6314725.5,-608.0549267272563
33,8856.6865234375,-19.3834493003816
34,6809.70751953125,-22.325026673359954
35,4570.03857421875,-20.74125351250978
36,13649.7158203125,-22.54837007251288
37,19904.59375,-22.776031985921403
38,19392.888671875,-24.12956971426536
39,5740.70458984375,-17.930279455926193
40,5693082.5,-592.8721764011199
41,9074.38671875,-22.23350726849794
42,1448.0645751953125,-20.351581540203846
43,7543.89208984375,-22.618454120080454
44,6374.46240234375,-22.01106065408829
45,2053.749267578125,-22.598268637877833
46,3877.000732421875,-23.147698193213998
47,21555.974609375,-24.17769036572784
48,7470.66748046875,-19.896411832508047
49,5787.48486328125,-21.247620758234458
50,12020.8251953125,-26.387692964838106
51,15061.5634765625,-23.417998636520768
52,21357.912109375,-24.376910882869147
53,39925.08984375,-24.99207959081414
54,8262.25390625,-24.57681965298576
55,5374.27197265625,-22.73070378317945
56,20755.84375,-21.69631057590888
57,4443.75537109375,-22.237547605587597
58,5056.34619140625,-21.243473498841176
59,7622.44091796875,-21.666203909106432
60,23542.6640625,-21.426316243875785
61,8614.5498046875,-24.639275279739092
62,4143620.25,-597.385373307579
63,3571.247314453125,-21.805982606451828
64,3914224.75,-606.6869277830523
65,79509.2109375,-23.65720771491146
66,5492.44287109375,-22.821556714236173
67,9534.0625,-20.870643671684185
68,5198.14599609375,-20.845203299085902
69,16673.74609375,-21.473058393697688
70,4317.39013671875,-21.827323549436258
71,12732.2314453125,-21.154221841949067
72,51114.390625,-22.665851163633896
73,1663.4906005859375,-22.85431362351768
74,10361.0927734375,-21.225325034228902
75,3151.8720703125,-20.631608193747745
76,17750.8828125,-19.195331033384928
77,11097.7216796875,-22.577791594552878
78,17603.181640625,-23.970869239244724
79,6378.10595703125,-21.635241312875028
80,26167.986328125,-22.08119523452002
81,11284.1923828125,-19.305835119106842
82,3626.6025390625,-24.685478967621464
83,22633.59375,-23.759644585292545
84,3405.103515625,-20.699306546274663
85,2510.6337890625,-21.92901191175782
86,9496.9306640625,-23.26792746546202
87,3993.715576171875,-23.01970859118178
88,19082.408203125,-21.214511002360485
89,16445.728515625,-25.151247584507903
90,2475.235107421875,-20.531548563266963
91,5328.04833984375,-23.989422155604906
92,2702.365966796875,-21.330838266307566
93,618.409423828125,-22.234730195585694
94,1551.7398681640625,-20.75295420881319
95,9187.9921875,-20.11894556765869
96,3576.201904296875,-23.02906571407949
97,8227.7119140625,-21.490763892054016
98,7213.74365234375,-25.219368258759147
99,4930.041015625,-22.862526492679635
