episode,Agent0 loss,Agent0 Average_Reward
0,[1168.514892578125],-42.48240855616937
1,[1104.6004638671875],-43.63594438664729
2,[718.9696044921875],-37.702498039781034
3,[541.2879028320312],-35.85316899777786
4,[279.29034423828125],-27.840358323641027
5,[258.3733215332031],-34.95834042017379
6,[245.48886108398438],-29.963926736799827
7,[417.9070129394531],-32.684156602495634
8,[330.5065002441406],-35.24879665349392
9,[348.5699768066406],-30.291594628079277
10,[767.8328247070312],-26.381305924056434
11,[830.890869140625],-28.19723900178312
12,[787.0923461914062],-31.20770471920289
13,[836.0218505859375],-32.99133624603533
14,[632.6304931640625],-28.35917497383137
15,[450.9280090332031],-31.634311727675705
16,[520.4989013671875],-26.94883544783965
17,[525.9661865234375],-31.27216641375547
18,[621.658935546875],-29.83565513248575
19,[578.623046875],-30.191996808239875
20,[691.899658203125],-29.72562629753358
21,[657.64306640625],-28.646142560693548
22,[448.030517578125],-24.5323822025319
23,[906.9117431640625],-28.450474125050867
24,[424.73760986328125],-25.047968818018834
25,[616.47705078125],-28.59264386078216
26,[582.8173217773438],-29.478545389280885
27,[1153.7125244140625],-25.226253157002017
28,[751.0913696289062],-27.215839613099774
29,[723.0523681640625],-24.177135725379518
30,[448.3148498535156],-27.159156734354756
31,[472.54168701171875],-25.78345379928754
32,[890.8050537109375],-24.149059382437855
33,[567.4098510742188],-23.14524658338322
34,[504.3697204589844],-25.487936560030917
35,[422.6502685546875],-26.00458512220468
36,[643.215087890625],-28.257556993520346
37,[595.4295043945312],-23.149221395637344
38,[513.09033203125],-27.15094646052225
39,[527.2353515625],-21.191395442109226
40,[649.0614013671875],-26.110215814090004
41,[471.429931640625],-27.368910515222822
42,[661.4049682617188],-25.42564279500166
43,[504.46856689453125],-24.64397294410594
44,[581.7846069335938],-25.902403239240453
45,[582.6470336914062],-26.222759163217372
46,[631.34130859375],-25.339281390554095
47,[587.7775268554688],-24.55539316513783
48,[411.242431640625],-23.20693589287159
49,[860.9523315429688],-22.978354414048017
50,[652.171142578125],-26.994512194325104
51,[509.0990905761719],-24.12740816878436
52,[570.9790649414062],-27.5760693020781
53,[592.9620971679688],-27.890771477096685
54,[425.7791748046875],-24.799568276028452
55,[408.9534912109375],-23.56031932806263
56,[583.2427978515625],-26.811563689444426
57,[1045.0509033203125],-24.68493652624991
58,[714.9452514648438],-24.701243549125625
59,[700.1475219726562],-28.00664786334905
60,[884.9556274414062],-23.24128761252838
61,[682.715087890625],-24.91253055778015
62,[703.9273071289062],-20.629019427643787
63,[625.1615600585938],-24.93066316013717
64,[554.3583374023438],-22.793576044565345
65,[516.6728515625],-23.738385431603838
66,[601.9474487304688],-23.331750918408808
67,[526.43603515625],-22.819130831031078
68,[834.1603393554688],-23.737813794052858
69,[639.5264892578125],-22.112066704479613
70,[719.1903686523438],-21.914563465735846
71,[571.8897094726562],-20.642069887674445
72,[494.2834167480469],-23.060369854510196
73,[528.4789428710938],-25.61185311294411
74,[649.0037231445312],-23.95572138946546
75,[394.86865234375],-24.136555893535885
76,[517.6837158203125],-19.818352429278907
77,[387.2442321777344],-22.28605083872201
78,[379.7884521484375],-25.811457713593782
79,[767.9666137695312],-24.913456074810995
80,[751.828369140625],-23.262055782519717
81,[531.1975708007812],-24.188010125988274
82,[796.5330200195312],-25.055283060419388
83,[775.0665893554688],-24.584423149753402
84,[763.9329833984375],-24.271545752992346
85,[473.258056640625],-22.560808363663636
86,[466.6467590332031],-23.774587256647614
87,[515.1201782226562],-24.4658121481923
88,[436.6833801269531],-22.25816549732674
89,[524.5620727539062],-25.749155798907914
90,[562.2123413085938],-21.7294380729964
91,[479.24212646484375],-25.095707547465498
92,[483.615478515625],-23.21210785396548
93,[611.9223022460938],-24.130149815131784
94,[514.996337890625],-22.774304504505555
95,[480.28076171875],-23.544306861737013
96,[593.2653198242188],-25.665742619012924
97,[516.8717041015625],-22.811957883478915
98,[443.4463195800781],-24.29482294855132
99,[512.3590087890625],-22.465731633074995
100,[497.60888671875],-23.639785851731038
101,[506.09637451171875],-20.71127176201274
102,[375.92730712890625],-23.283337182378716
103,[422.8421325683594],-23.197349124602745
