episode,Agent0 loss,Agent0 Average_Reward
0,[1577.190185546875],-40.07874364883425
1,[1140.5205078125],-41.00406668011051
2,[605.6470947265625],-33.67200765131345
3,[801.5182495117188],-43.86485906856502
4,[558.1099853515625],-36.051094933616845
5,[281.90032958984375],-33.574346620496314
6,[185.0275115966797],-30.417896108257967
7,[168.13929748535156],-30.524168113679085
8,[288.8123474121094],-35.951599735569616
9,[349.891845703125],-36.79028649425691
10,[770.2210693359375],-28.258289655468623
11,[768.1399536132812],-31.56845230324461
12,[681.242431640625],-34.22996128964422
13,[687.4551391601562],-29.414297543927937
14,[437.6149597167969],-29.405637482506794
15,[599.1810913085938],-31.100487119176893
16,[423.7972412109375],-27.624373717087934
17,[464.59912109375],-30.873734610907306
18,[494.7363586425781],-29.42266972810548
19,[409.8794250488281],-26.64339284875995
20,[654.3941040039062],-28.203718604316045
21,[477.17059326171875],-25.92211877413156
22,[501.77593994140625],-26.110092199488427
23,[445.3557434082031],-27.605896788997647
24,[721.2552490234375],-26.855177457278753
25,[735.1008911132812],-26.168062702801898
26,[706.27001953125],-27.541735760161565
27,[467.9654541015625],-27.447642950067564
28,[510.2626953125],-31.078426959771132
29,[566.5591430664062],-26.153717957127387
30,[617.4613037109375],-27.054485410026665
31,[628.6262817382812],-27.285181650242865
32,[885.3440551757812],-25.198045140837774
33,[551.0211181640625],-22.648410736360827
34,[521.11767578125],-26.221488687984518
35,[529.9228515625],-22.269487995350712
36,[515.9027709960938],-27.47288613372198
37,[559.80419921875],-25.39977510405445
38,[571.2732543945312],-27.988150818844222
39,[720.4904174804688],-19.45842814668971
40,[437.7215881347656],-24.4700841536099
41,[521.2503662109375],-27.751097681741538
42,[392.6948547363281],-22.516077780337625
43,[521.9989013671875],-23.920140250514283
44,[419.6227722167969],-26.038276727852715
45,[576.2163696289062],-26.723160386258936
46,[539.2064819335938],-23.604507961321584
47,[543.0775146484375],-23.512742323592228
48,[649.1571044921875],-22.945379515933364
49,[668.7850341796875],-25.40036107486378
50,[776.4331665039062],-23.83639317887134
51,[439.76239013671875],-22.920088835392388
52,[648.8125610351562],-26.967741499136107
53,[590.97998046875],-26.955097177670904
54,[417.03692626953125],-26.119969943484488
55,[490.5404357910156],-27.6586854434749
56,[564.6461181640625],-26.234395590316915
57,[340.2557067871094],-20.777448169655074
58,[544.672607421875],-21.57757754886794
59,[375.9448547363281],-25.82607068857713
60,[466.2643127441406],-23.79053503041192
61,[377.220947265625],-29.75190633794999
62,[672.149658203125],-23.731966616149762
63,[392.0071716308594],-22.943089158654846
64,[604.9462890625],-24.3169993334648
65,[448.90667724609375],-25.426764911113736
66,[325.3115539550781],-26.708798246200317
67,[490.7156677246094],-24.87409673966865
68,[409.1466064453125],-23.712084926000003
69,[618.1825561523438],-23.011846137397473
70,[394.5107116699219],-23.76240944134458
71,[434.8484191894531],-20.193951713451447
72,[367.03741455078125],-22.423905554326506
73,[412.11163330078125],-25.716275458637032
74,[399.25274658203125],-25.934619867439494
75,[346.10015869140625],-21.707745920032515
76,[310.1462097167969],-21.81080004455982
77,[456.8972473144531],-24.594524970134547
78,[424.4071960449219],-25.715382965995797
79,[506.90283203125],-23.794319108225555
80,[466.9750671386719],-22.677584269227495
81,[395.1158142089844],-24.14641885739146
82,[380.2134704589844],-26.31940669713624
83,[444.3644104003906],-22.999253562956795
84,[399.6217346191406],-23.299407527269047
85,[321.1324157714844],-23.80064254833838
86,[377.6476745605469],-24.83851160456153
87,[389.7539978027344],-21.57190699235047
88,[320.5966491699219],-23.074512843467218
89,[537.96826171875],-27.506580182305253
90,[491.94329833984375],-24.656388279173132
91,[372.0306701660156],-27.491705470200515
92,[395.90924072265625],-23.10861682782635
93,[438.41351318359375],-26.429810642626908
94,[505.1153259277344],-23.674801042000002
95,[417.1856384277344],-20.27732362513006
96,[386.01641845703125],-24.884008434921093
97,[403.1611328125],-22.83821669004987
98,[314.4884948730469],-23.214263063816407
99,[261.49005126953125],-22.778040994613107
100,[348.7743835449219],-22.899450577652644
101,[206.017578125],-20.86222485248691
102,[388.0615539550781],-25.247722865996053
103,[442.52325439453125],-23.97988648513973
104,[392.8768310546875],-21.380570104271598
105,[325.7879943847656],-22.45654461201051
106,[405.7506103515625],-23.28600072351314
107,[368.3697204589844],-23.521878761556607
108,[315.698486328125],-24.177893590307892
109,[278.25006103515625],-24.089027149173234
110,[434.4001770019531],-24.697028638634468
111,[544.1276245117188],-22.548961187546194
112,[498.4999694824219],-23.07549883254275
113,[356.4937744140625],-26.86828925243324
114,[559.8528442382812],-25.00530783322456
115,[362.4637451171875],-27.2711548594285
116,[552.764892578125],-26.661014215293868
117,[549.4453735351562],-27.922151583792758
118,[516.3106079101562],-24.328597935930254
119,[465.02105712890625],-23.648677923964605
120,[311.20361328125],-22.059329598284837
121,[322.94073486328125],-24.664680667163815
122,[246.33612060546875],-23.83917652923473
123,[174.64784240722656],-22.87572938244504
124,[276.8060607910156],-24.088902272412867
125,[331.9265441894531],-22.821765190092783
126,[261.68524169921875],-22.081326102430634
