episode,Agent0 loss,Agent0 Average_Reward
0,[546.2991333007812],-64.19962588453494
1,[397.98431396484375],-63.155892336513276
2,[298.14013671875],-54.74568692625067
3,[327.90167236328125],-75.37445499816894
4,[174.75485229492188],-55.23742760179251
5,[85.57019805908203],-53.87459598533392
6,[52.496009826660156],-50.91588163193862
7,[78.87837219238281],-55.490338549769405
8,[114.98973083496094],-56.67808218364173
9,[126.6753921508789],-52.556141624554186
10,[82.48947143554688],-44.86627114094785
11,[69.36724090576172],-47.00666579632682
12,[55.4130973815918],-54.12470085274695
13,[45.056583404541016],-52.973731858012535
14,[64.63017272949219],-52.30438107985505
15,[47.388553619384766],-54.951716074259146
16,[42.455894470214844],-40.55652008063672
17,[39.95478820800781],-44.85861368305389
18,[37.105140686035156],-42.25251916405086
19,[41.66612243652344],-40.22951207258985
20,[243.3616943359375],-52.21681541332889
21,[264.9661560058594],-45.95590769026078
22,[177.73919677734375],-38.05917485845606
23,[126.42680358886719],-49.05202090076117
24,[123.81877136230469],-44.1671893823027
25,[96.03886413574219],-45.69968473921685
26,[73.21687316894531],-43.235362551955745
27,[79.63477325439453],-46.50029443472062
28,[58.949684143066406],-43.60784619086271
29,[62.15804672241211],-51.495799204173345
30,[85.90657043457031],-48.4577313621537
31,[107.96839141845703],-49.1122245221014
32,[110.86676788330078],-48.37083877053638
33,[101.97505187988281],-44.78152471350822
34,[75.17566680908203],-41.88923495868458
35,[69.36595153808594],-43.215562612394365
36,[57.182769775390625],-45.460285638892415
37,[52.91130447387695],-40.69547899805941
38,[71.05418395996094],-61.837149108574714
39,[83.29434967041016],-42.350310454309174
40,[276.7782287597656],-45.29689523346955
41,[228.62783813476562],-41.29382706884177
42,[173.50303649902344],-38.978971021103284
43,[174.22933959960938],-51.130476005246166
44,[164.19424438476562],-49.98995414352649
45,[141.73519897460938],-62.37257950682835
46,[102.60135650634766],-46.166306320427715
47,[155.21029663085938],-48.68336411409112
48,[211.5864715576172],-39.67499021341585
49,[87.37628936767578],-48.58579985688753
50,[84.88090515136719],-52.078494394238135
51,[93.84518432617188],-51.937303684448175
52,[92.27043151855469],-60.004940293095295
53,[119.11351776123047],-50.48704629266779
54,[91.39830780029297],-51.98796211337045
55,[84.95514678955078],-47.46612973867169
56,[121.25314331054688],-54.00172200146845
57,[113.12715911865234],-59.086266458425975
58,[81.01099395751953],-49.24712636745983
59,[78.26615905761719],-33.13053950165054
60,[266.9617614746094],-28.929828294018026
61,[131.52548217773438],-35.387914403546326
62,[173.86941528320312],-33.43344885510621
63,[209.6159210205078],-43.88708087079643
64,[188.4890594482422],-59.78798515335757
65,[259.71807861328125],-34.059591415029566
66,[225.4154510498047],-35.85253044560804
67,[185.23080444335938],-37.02724747076947
68,[211.36282348632812],-61.343767494618454
69,[161.06723022460938],-48.429932644486016
70,[120.85033416748047],-85.51302106749631
71,[186.14471435546875],-60.17103477591597
72,[168.3465118408203],-61.87963949371592
73,[184.2239227294922],-60.734719203810194
74,[185.58663940429688],-69.91104739258378
75,[252.60145568847656],-49.01960764382869
76,[209.32606506347656],-38.620183250421874
77,[171.6050567626953],-48.01698873036227
78,[188.53106689453125],-43.86880879916815
79,[179.1136932373047],-32.11984351803295
80,[202.81768798828125],-28.650149807507212
81,[199.6625213623047],-30.10501941601433
82,[205.32803344726562],-35.390054592123164
83,[186.6429443359375],-37.880141195171994
84,[182.91915893554688],-40.352761054299876
85,[115.67320251464844],-36.355787608062954
86,[99.37425994873047],-28.833709377106207
87,[113.68340301513672],-28.563538423485188
88,[117.34577941894531],-28.177898461924446
89,[133.4744873046875],-27.72548174048447
90,[132.16903686523438],-27.402952124923342
91,[175.32464599609375],-31.324168185378294
92,[168.31199645996094],-28.745156453061433
93,[138.34185791015625],-28.55685642822065
94,[129.8517303466797],-28.216742646157492
95,[119.3780517578125],-27.90246037406217
96,[121.65534210205078],-28.274961517789233
97,[128.7165985107422],-29.322996882339183
98,[127.2176742553711],-31.299590474981233
99,[94.3517837524414],-30.455288062246158
100,[185.14389038085938],-29.048537118433607
101,[159.7786407470703],-30.25083551096977
102,[157.9446258544922],-27.83696285833614
103,[123.18403625488281],-23.951661299443323
104,[144.22671508789062],-25.165583206384696
105,[117.67549133300781],-26.148460740106028
106,[141.8779754638672],-26.30820687119127
107,[103.92776489257812],-27.002935772794263
108,[113.2427978515625],-25.085458249496885
109,[121.25865936279297],-25.886024496329686
110,[149.34690856933594],-27.385655816827803
111,[127.60154724121094],-25.13606439956058
112,[122.66197204589844],-23.762960319393216
113,[105.44010162353516],-27.997923710628847
114,[103.20521545410156],-25.680975662226974
115,[133.1829376220703],-30.315828767020275
116,[121.22373962402344],-26.556368982273195
117,[103.45173645019531],-24.681650181976792
118,[147.158203125],-27.386232068783738
119,[117.90130615234375],-27.6184466110342
120,[138.98304748535156],-24.892902467414018
121,[149.7935028076172],-27.07935957978807
122,[154.47821044921875],-25.672058546488625
123,[149.77305603027344],-25.43179206121518
124,[128.33929443359375],-24.87303826738953
125,[145.84329223632812],-21.964236584587
126,[118.7730712890625],-26.505784576111076
127,[132.5224609375],-26.27499376282407
128,[113.53902435302734],-22.79047650069604
129,[131.73019409179688],-27.69311213377679
130,[102.34915924072266],-24.003348249123547
131,[130.29922485351562],-28.25322203785847
132,[114.77590942382812],-23.34120420657465
133,[130.26437377929688],-25.75660165693483
134,[122.23186492919922],-25.197051563790193
135,[133.14468383789062],-25.943698081581246
136,[156.0587615966797],-24.05929656420344
137,[106.22927856445312],-25.02368820963107
138,[150.0756378173828],-26.564274584865746
139,[144.28945922851562],-24.250850929860917
140,[137.4288330078125],-24.165360480208243
141,[139.59625244140625],-22.038491671080987
142,[138.78338623046875],-21.382770991793095
143,[130.92286682128906],-23.971470307170474
144,[142.96038818359375],-24.622509901301793
145,[120.71067810058594],-22.45282767026152
146,[116.41470336914062],-26.014850256440983
147,[117.93135833740234],-26.281430687329905
148,[121.15187072753906],-28.012692418197794
149,[187.25233459472656],-25.668689640609966
150,[120.01034545898438],-26.713502878881485
151,[150.25099182128906],-27.857013394183955
152,[148.39942932128906],-24.513793325105652
153,[154.78948974609375],-27.59647556982075
154,[138.2914276123047],-28.350310041977444
155,[167.83380126953125],-28.06324085534443
156,[179.80239868164062],-24.893071090761737
157,[133.43382263183594],-25.00407333828574
158,[157.035400390625],-26.383553123323303
159,[153.6317596435547],-26.635586022498135
160,[165.8135528564453],-25.456806871168833
161,[229.36305236816406],-25.821889328043337
162,[187.36187744140625],-24.29384440965361
163,[135.3520965576172],-25.287288485322556
164,[101.09730529785156],-23.965533955020963
165,[161.58799743652344],-23.470337247143878
166,[121.64456176757812],-23.834754501873
167,[150.25489807128906],-25.988393448690232
168,[206.0710906982422],-23.287646461793184
169,[147.22418212890625],-26.10273958479288
170,[165.49734497070312],-23.737620575433535
171,[140.77723693847656],-22.88429726644669
172,[98.40312194824219],-24.832982903146704
173,[178.73521423339844],-25.09142850038662
174,[97.82726287841797],-26.286229505205164
175,[135.64413452148438],-27.145086250096334
176,[117.0679702758789],-26.383545698328895
177,[179.79647827148438],-26.438606932500264
178,[169.48663330078125],-24.81140087498135
179,[142.98667907714844],-25.744488083314536
180,[176.29891967773438],-22.518318500933265
181,[194.318603515625],-24.248725241669487
182,[178.89134216308594],-25.84528280315001
183,[148.7115478515625],-23.267231953192802
184,[152.34848022460938],-25.82248794982052
185,[156.368896484375],-23.52736776188466
186,[159.717041015625],-26.1331616232298
187,[169.6964111328125],-25.512565917808153
188,[163.5755157470703],-23.495563712796883
189,[157.03460693359375],-24.051963864367462
190,[147.1691131591797],-25.60407801412041
191,[141.5457000732422],-26.12105177530226
192,[172.35755920410156],-22.81381703775771
193,[148.39598083496094],-25.077688791336826
194,[159.64968872070312],-25.405889339159405
195,[164.22874450683594],-24.104641671274866
196,[182.74415588378906],-26.480888564520047
197,[151.07569885253906],-28.386160147654383
198,[156.3544921875],-25.69043227375304
199,[166.6907501220703],-21.104969452261262
200,[151.70091247558594],-21.652599743471537
201,[172.28445434570312],-23.9928421103407
202,[181.32789611816406],-20.6445648214657
203,[184.89956665039062],-23.947983414214917
204,[192.6175994873047],-19.858827979217274
205,[192.032470703125],-25.422088160515628
206,[178.04429626464844],-20.735564674798837
207,[197.5255889892578],-23.732278175196555
208,[217.36126708984375],-27.769773668433363
209,[184.51565551757812],-26.789840569272485
210,[143.47340393066406],-23.02735657507659
211,[186.75177001953125],-24.71695413792068
212,[175.73858642578125],-25.682707810076288
213,[190.76010131835938],-31.139532876144617
214,[193.04080200195312],-29.422040481231612
215,[151.9235076904297],-29.00669595141784
216,[130.55740356445312],-29.44034143402123
217,[181.2841796875],-30.536184628301328
218,[221.9669189453125],-28.675189762498317
219,[142.9880828857422],-27.513538967590215
220,[169.89662170410156],-29.880553212926113
221,[192.4177703857422],-30.454813903436328
222,[161.43893432617188],-31.728286533202226
223,[186.22767639160156],-29.292151333390034
224,[173.77719116210938],-30.591125369680967
225,[122.72870635986328],-33.34964802755314
226,[186.14244079589844],-36.30259188151246
227,[155.00547790527344],-30.33451735613207
228,[171.53880310058594],-31.13518547971284
229,[156.34304809570312],-28.173152846385783
230,[173.1539306640625],-25.25825946243892
231,[136.72804260253906],-27.26956879656712
232,[178.12591552734375],-28.079847654173395
233,[198.1280517578125],-25.01533642789194
234,[121.00056457519531],-24.093467091758978
235,[156.40090942382812],-24.485083540202396
236,[147.36636352539062],-23.780567990598076
237,[177.08656311035156],-26.516433810537254
238,[193.95391845703125],-28.062729808623292
239,[125.40521240234375],-37.58414886619057
240,[207.45086669921875],-40.151519536599224
241,[176.22877502441406],-39.414529537506475
242,[191.18167114257812],-31.957319615797914
243,[200.86502075195312],-26.275678735576214
244,[179.66416931152344],-31.762091471496785
245,[219.1237030029297],-35.34983784234852
246,[225.895263671875],-30.633020666774094
247,[266.7066650390625],-27.334811211848542
248,[188.63735961914062],-26.482510764077887
249,[238.64129638671875],-26.512246377818034
250,[246.46493530273438],-23.783148818112608
251,[227.08316040039062],-24.61244037563365
252,[194.02073669433594],-25.575306027278078
253,[179.7869873046875],-27.870777478601035
254,[220.412841796875],-26.419946595081193
255,[205.48399353027344],-28.36004734708717
256,[152.1482391357422],-29.027245692256095
257,[149.51051330566406],-27.650591425669084
258,[232.98448181152344],-24.177299410560465
259,[201.38795471191406],-27.448186682975837
260,[185.0872344970703],-26.521337740031832
261,[234.30062866210938],-24.860356502660338
262,[145.72372436523438],-21.820769379135655
