episode,Agent0 loss,Agent0 Average_Reward
0,[3321.08740234375],-140.7715218576643
1,[2141.5478515625],-132.03725373008018
2,[1399.0245361328125],-128.82334453377786
3,[972.9236450195312],-118.99097431765568
4,[648.2249755859375],-129.18580635176662
5,[306.52880859375],-121.13037931801858
6,[205.00132751464844],-122.68537122876322
7,[318.13055419921875],-128.12496534551173
8,[546.1064453125],-129.03005136764932
9,[511.7099609375],-131.2036339970405
10,[302.53924560546875],-100.661979238035
11,[191.57980346679688],-101.80990877006323
12,[147.2509002685547],-102.53861721162444
13,[151.78390502929688],-112.83059327590146
14,[123.27726745605469],-97.50069981171197
15,[182.37847900390625],-121.7956574793819
16,[203.51727294921875],-112.18898117251882
17,[235.83953857421875],-110.77166451546006
18,[232.01651000976562],-120.22243431080094
19,[208.3492431640625],-102.94578700985818
20,[1855.720703125],-102.12118386143626
21,[1352.7021484375],-105.58503957691556
22,[1022.6384887695312],-97.78864842066554
23,[731.4767456054688],-96.10622019755833
24,[418.8221130371094],-96.09250771855558
25,[443.54156494140625],-101.84026273288494
26,[453.3101806640625],-121.20331280182658
27,[722.0564575195312],-136.05177517668417
28,[1003.2503051757812],-97.5882419997889
29,[683.6622314453125],-84.73232536381552
30,[492.68597412109375],-93.73147207888188
31,[493.59136962890625],-95.11880972068694
32,[302.5483093261719],-87.34924465967156
33,[387.4764404296875],-88.6355313783511
34,[407.77874755859375],-102.69717206177612
35,[336.28277587890625],-92.2131987943544
36,[356.9251403808594],-94.28626335191451
37,[577.4856567382812],-91.1225693564261
38,[390.3644104003906],-95.01157675537918
39,[449.601806640625],-86.3434828059412
40,[842.2124633789062],-81.08238114775621
41,[940.6619262695312],-83.90988176480438
42,[971.5103759765625],-87.08989928984057
43,[577.522216796875],-88.9721793620692
44,[576.918701171875],-88.09267732645425
45,[590.6262817382812],-93.92672934295065
46,[687.4749145507812],-85.34375557545023
47,[793.2880859375],-80.05364892894526
48,[979.7608642578125],-82.50868776725858
49,[931.9592895507812],-90.17369999987818
50,[588.9718017578125],-86.81009768726571
51,[686.9593505859375],-77.46690413679394
52,[491.2855529785156],-76.05622305055269
53,[474.68603515625],-78.10087777446134
54,[484.9702453613281],-86.0982692146517
55,[640.75830078125],-83.6176715942313
56,[554.6188354492188],-81.80472310040898
57,[577.8026123046875],-75.81711280743774
58,[743.8564453125],-75.99923620076262
59,[476.64508056640625],-76.59476593442447
60,[680.23046875],-73.00875178488481
