episode,Agent0 loss,Agent0 Average_Reward
0,[4060.979248046875],-185.05307618272897
1,[3678.319580078125],-181.7796905566818
2,[3074.2568359375],-167.45694134162807
3,[2335.041015625],-175.3105394688727
4,[1689.4158935546875],-165.2386030682294
5,[1176.883544921875],-181.39886409809694
6,[501.1246032714844],-181.3148541959264
7,[328.0451354980469],-163.72677629552044
8,[369.77740478515625],-164.4575476003792
9,[744.7723999023438],-166.74450533306376
10,[916.911865234375],-164.06138035608134
11,[662.4044189453125],-185.8835433594789
12,[498.5129089355469],-160.57426519324662
13,[256.921875],-180.09899761399052
14,[260.1831359863281],-233.34525168949423
15,[350.2863464355469],-181.61978174599477
16,[391.8867492675781],-135.14796683364304
17,[396.1177062988281],-147.36859398783497
18,[363.6495666503906],-157.41358294755042
19,[398.0615234375],-155.93397310249694
20,[2990.782470703125],-145.9537017926477
21,[1968.5203857421875],-134.39581892844595
22,[1688.54052734375],-128.00841194390648
23,[1663.5247802734375],-165.39713118562037
24,[1240.8345947265625],-143.49542925126525
25,[1161.588623046875],-186.3221349651292
26,[693.139892578125],-248.19276209541002
27,[510.18267822265625],-186.47564923316997
28,[1616.0],-303.86661707069635
29,[2389.4228515625],-358.74511768176836
30,[1533.4725341796875],-429.06956889563276
31,[1563.00927734375],-386.31365023603115
32,[1299.0133056640625],-254.47460022956477
33,[1371.6763916015625],-349.2319883413083
34,[905.29833984375],-152.637436556959
35,[939.0721435546875],-130.9579924297813
36,[568.0983276367188],-137.4581469833283
37,[502.696044921875],-125.85381994716126
38,[430.9079895019531],-123.33333165187085
39,[531.7496948242188],-128.79996649737953
40,[2436.839599609375],-126.51585208832971
41,[2458.62646484375],-126.3559403861132
42,[1647.38525390625],-105.05935234866557
43,[2020.8267822265625],-151.46496470106274
44,[1372.0853271484375],-115.24038726260777
45,[1163.8363037109375],-122.87539336434203
46,[1765.3194580078125],-150.58527712841607
47,[1187.4998779296875],-190.2421648416047
48,[2321.17236328125],-138.71997903043743
49,[1344.71826171875],-134.96209322357333
50,[1218.7889404296875],-167.44343466194593
51,[1356.2034912109375],-227.8936629396718
52,[1322.974609375],-160.3808566107604
53,[1363.00341796875],-139.37070708922414
54,[962.4124755859375],-122.17600416308254
55,[1441.278564453125],-141.95223139916814
56,[987.599609375],-141.8334264173177
57,[903.7483520507812],-147.70258642677737
58,[1045.4942626953125],-171.17451932239095
59,[1131.416748046875],-150.684455140734
60,[3617.9541015625],-124.77150526565613
61,[2059.4833984375],-121.4230594924222
62,[3063.114501953125],-230.35190020907814
63,[1937.14794921875],-126.13482801239792
64,[2297.828857421875],-116.8048887172106
65,[2362.8740234375],-135.2062205735143
66,[3434.316650390625],-120.37876717239901
67,[3015.06640625],-113.43155753580612
68,[2694.697509765625],-120.55669030973569
69,[1799.4659423828125],-113.90145147302759
70,[1728.5313720703125],-114.18891551251403
71,[1510.3917236328125],-102.18359483255709
72,[1685.920654296875],-108.70795035219884
73,[2010.160400390625],-118.3077961452723
74,[1979.3663330078125],-104.53505391730477
75,[1820.968017578125],-104.24816663302079
76,[1489.691162109375],-107.09347460283331
77,[1179.39013671875],-105.95817699849198
78,[2005.405029296875],-123.38581270043726
79,[2014.583984375],-111.16735720474948
80,[2531.528076171875],-110.43897124192435
81,[1779.1365966796875],-120.10254972687704
82,[1834.276611328125],-127.08808967924236
83,[1864.8056640625],-125.04544870130321
84,[1799.8004150390625],-114.98033618936253
85,[2381.877685546875],-119.4908046467752
86,[1958.57763671875],-115.4411766487083
87,[1945.3377685546875],-107.47129517354819
88,[2150.929443359375],-114.02890775928427
89,[1479.677490234375],-105.82154159484577
90,[1553.4266357421875],-102.09114123723367
91,[1490.8525390625],-115.06023090286264
92,[1452.5015869140625],-106.55872797756221
93,[2237.735595703125],-109.81742957856036
94,[1562.8631591796875],-102.15982611996809
95,[1511.4881591796875],-107.4270621951537
96,[1828.74609375],-111.65605263866544
97,[2084.314453125],-106.10305114458406
98,[1240.7490234375],-106.47761404534756
99,[1654.3917236328125],-104.62307229122204
100,[1852.7069091796875],-104.94874046562092
101,[1667.43798828125],-98.3769839135943
102,[1320.960693359375],-112.84443727557961
103,[1879.9476318359375],-101.16983041052674
104,[1324.205810546875],-88.81247067345814
105,[1642.335693359375],-102.11686368679992
106,[1651.2938232421875],-107.67564783617625
107,[1620.51708984375],-102.43351920944363
108,[1479.395751953125],-106.69107935188441
109,[1983.759765625],-90.80905824246179
110,[1704.21240234375],-102.39269346187935
111,[1089.365478515625],-91.4963556832077
112,[1297.714599609375],-90.94591536673748
113,[1822.2578125],-106.7156717030452
114,[1507.718017578125],-103.74616606256943
115,[1300.5018310546875],-104.65171142072609
116,[1633.62255859375],-113.49313800891909
117,[1985.3590087890625],-111.40843899550322
118,[1805.848388671875],-105.66478565878653
119,[2041.6285400390625],-99.18629301966853
120,[1892.4241943359375],-98.16159866604332
121,[1353.0001220703125],-109.77025848939418
122,[1678.5726318359375],-104.46125369310795
123,[1461.539306640625],-99.20563901645274
124,[1310.8837890625],-101.53987967898777
125,[1946.288330078125],-95.59162753326451
126,[1199.9730224609375],-96.24465768197388
127,[1323.2464599609375],-98.69692941134038
128,[1390.3990478515625],-101.4334932719757
129,[1409.394775390625],-99.8794512011641
130,[1589.79931640625],-95.58913045250654
131,[1845.8966064453125],-104.64222573423811
132,[1542.0897216796875],-94.98043284860378
133,[2061.88037109375],-91.9559884731016
134,[1689.8974609375],-96.23512873121715
135,[1278.1580810546875],-96.45303485093775
136,[1310.8359375],-96.1516285455948
137,[1303.947998046875],-96.4408562785837
138,[1301.900634765625],-95.2453780595421
139,[1563.5670166015625],-91.14228520683564
140,[1413.57861328125],-103.4703077237972
141,[1097.3768310546875],-95.04885195190137
142,[1039.701171875],-96.93624418749111
143,[1617.3363037109375],-96.89377347037937
144,[1771.6424560546875],-95.97040306689948
145,[1828.986328125],-90.290777116811
146,[1754.4295654296875],-102.57176428044899
147,[1345.87548828125],-107.13669449506428
148,[1432.4063720703125],-100.59522324514916
149,[1310.48828125],-90.01696828154127
150,[1838.1181640625],-93.65001288021611
151,[1244.6151123046875],-101.19914385210882
152,[1693.097412109375],-96.3110433550582
153,[1753.382080078125],-88.804106244852
154,[1427.1099853515625],-89.97933223455192
155,[1469.5699462890625],-91.88404322021917
156,[1353.2423095703125],-88.92406486498732
157,[1450.35400390625],-96.97015936649518
158,[1756.767333984375],-89.38397114682752
159,[1282.53271484375],-100.39759582388845
160,[859.440673828125],-88.84952843424509
161,[1268.6068115234375],-100.4718630986136
162,[1010.4937744140625],-86.10266651485176
163,[1319.16064453125],-89.91166301431545
164,[1363.3822021484375],-98.50449994373206
165,[1190.0675048828125],-90.28939486613902
166,[1445.25537109375],-97.56374432990003
167,[1324.431884765625],-99.9197101054893
168,[1371.9615478515625],-96.38951601574088
169,[1262.4193115234375],-100.54484151382687
170,[1262.546630859375],-94.68473844978641
171,[1256.545166015625],-93.29000557427567
