episode,Agent0 loss,Agent0 Average_Reward
0,[2629.6904296875],-137.3495191399697
1,[1951.86279296875],-127.10535786821472
2,[1400.15234375],-120.88485680911582
3,[1022.8701782226562],-118.22316817430831
4,[711.201171875],-129.09226638332
5,[432.9105224609375],-111.07820399756673
6,[209.11024475097656],-115.50012363633648
7,[134.6215057373047],-108.6132323003427
8,[288.7488708496094],-122.48989900009774
9,[417.5342102050781],-103.11837303850953
10,[426.0564270019531],-97.04243538981837
11,[420.80511474609375],-120.81987006873828
12,[227.15382385253906],-106.9533917511629
13,[190.80113220214844],-111.97615059359863
14,[149.7082977294922],-106.47042062973078
15,[116.77288818359375],-132.35673878258532
16,[180.75283813476562],-99.4361596604415
17,[162.91616821289062],-101.94974085313004
18,[198.95079040527344],-102.73616940320193
19,[182.8416290283203],-107.98806840995728
20,[1633.2996826171875],-114.30690484225151
21,[1564.863525390625],-108.89321116645078
22,[1490.3001708984375],-119.05275158951065
23,[884.8157348632812],-94.90536147729433
24,[585.2972412109375],-97.05500547302805
25,[418.2927551269531],-122.25844662104579
26,[346.3348693847656],-118.50657194539845
27,[389.3409423828125],-145.86040896438652
28,[599.8302612304688],-100.2347412171004
29,[753.2386474609375],-90.09555872666495
30,[542.652587890625],-94.17812316542376
31,[451.2239685058594],-95.41477884226083
32,[295.24822998046875],-91.91806344770059
33,[449.1673278808594],-80.2805809735918
34,[330.8004150390625],-97.18022361841366
35,[361.4002380371094],-98.45275339341458
36,[454.00177001953125],-99.30338102865531
37,[466.7519836425781],-93.58508158476417
38,[409.8891296386719],-94.85529561199942
39,[332.4921569824219],-88.7176087483749
40,[1246.18896484375],-87.32648343495657
41,[1146.63330078125],-89.33827270531668
42,[1002.0474853515625],-93.42681438118835
43,[1184.7572021484375],-145.4335321853105
44,[885.1102905273438],-95.84767892914641
45,[627.6364135742188],-86.45480350027029
46,[837.6351928710938],-156.9397246160724
47,[1352.3033447265625],-157.6660238025973
48,[1494.1834716796875],-172.2317703963465
49,[1013.9227294921875],-225.6862052048198
50,[1178.7236328125],-134.75400449877634
51,[849.5433959960938],-92.41521353282084
52,[530.4270629882812],-74.83883891564173
53,[595.9703369140625],-85.21500321058419
54,[448.434814453125],-101.70296933934911
55,[538.8734130859375],-107.79916062621298
56,[651.2107543945312],-113.71896127877876
57,[689.4208374023438],-91.82467550987555
58,[514.745361328125],-90.18688751487865
59,[537.6460571289062],-98.65373513129083
60,[1236.16015625],-82.10298882049662
61,[1128.5958251953125],-90.8616427296286
62,[1041.974853515625],-84.42334830643753
63,[1238.2806396484375],-118.75033819747921
64,[1008.9688110351562],-118.5478732375507
65,[1147.685791015625],-156.20828850123186
66,[919.0849609375],-112.29806797935103
67,[691.6481323242188],-80.01984988668957
68,[823.7164916992188],-80.65718281490324
69,[577.169921875],-106.38390189799799
70,[917.9046020507812],-99.39806736590128
71,[674.5383911132812],-90.99907361958248
72,[668.6984252929688],-85.14077535626502
73,[983.6324462890625],-149.7889659201772
74,[958.0950927734375],-116.66897727841604
75,[1027.9417724609375],-108.37438803150638
76,[664.3590087890625],-94.08369544715613
77,[910.3580322265625],-93.43653160712554
78,[1055.9415283203125],-105.33700070052286
79,[1006.0581665039062],-92.5549876489228
80,[2193.22314453125],-85.36381955068525
81,[1601.381591796875],-80.36033271377782
82,[1305.0628662109375],-78.5106087134287
83,[1197.0267333984375],-72.4468855069513
84,[1099.575439453125],-75.44883995123487
85,[856.6351928710938],-77.57059899098776
86,[1062.1553955078125],-70.06022902052443
87,[889.9541625976562],-74.97460406921789
88,[1033.359130859375],-76.04373643431927
89,[657.8695678710938],-88.0168254851319
90,[1340.46337890625],-134.4536949453061
91,[921.9287109375],-85.7132193346574
92,[1073.177001953125],-70.87850967894629
93,[1387.830078125],-79.50507912586774
94,[910.32958984375],-79.51425090893407
95,[1057.0096435546875],-80.66235883614206
96,[994.7056884765625],-82.892820328178
97,[825.527099609375],-75.42431042967888
98,[740.2840576171875],-72.86982990780095
99,[791.3638305664062],-69.42564614938156
100,[815.3070678710938],-64.48721482932875
101,[787.6951293945312],-68.0495272079068
102,[820.430908203125],-69.73176541421866
103,[647.280029296875],-72.11829617616284
104,[692.3199462890625],-60.531379629832514
105,[635.801025390625],-67.3172869314866
106,[782.7766723632812],-72.4254229416027
107,[751.1961669921875],-63.71376817387843
108,[685.9805297851562],-70.61214529196292
109,[851.623291015625],-65.74516082290737
110,[1132.5308837890625],-71.81758043699416
111,[751.709228515625],-62.192947686931014
112,[899.7127685546875],-64.75316792366522
113,[1014.7365112304688],-68.5786349429814
114,[542.8907470703125],-76.66042065801949
115,[790.6744384765625],-67.79922065515564
116,[606.007080078125],-72.46956394997869
117,[723.112060546875],-68.38475321859349
118,[783.791259765625],-72.63313884755149
119,[789.7745971679688],-64.71871909697043
120,[772.8234252929688],-62.554192027252455
