Zeit	Simulationszeit	ContrId	SignalId	Pue	SgIn	SgOut	YellowTCorrected
21:19:09	0	2	1	1	4	-3202	0
21:19:09	0	2	2	1	-3202	1	0
21:19:09	0	2	3	1	-3202	-3202	0
21:19:09	0	2	4	1	4	-3202	0
21:19:09	0	2	5	1	-3202	1	0
21:19:09	0	2	6	1	-3202	-3202	0
21:19:09	0	2	7	1	-3202	-3202	0
21:19:09	0	2	8	1	-3202	-3202	0
21:19:09	0	2	9	1	-3202	0	0
21:19:09	0	2	10	1	-3202	-3202	0
21:19:09	0	2	11	1	-3202	-3202	0
21:19:09	0	2	12	1	-3202	0	0
21:19:09	0	2	1	2	-3202	-3202	0
21:19:09	0	2	2	2	-3202	0	0
21:19:09	0	2	3	2	6	-3202	0
21:19:09	0	2	4	2	-3202	-3202	0
21:19:09	0	2	5	2	-3202	0	0
21:19:09	0	2	6	2	6	-3202	0
21:19:09	0	2	7	2	2	-3202	0
21:19:09	0	2	8	2	1	-3202	0
21:19:09	0	2	9	2	-3202	0	0
21:19:09	0	2	10	2	2	-3202	0
21:19:09	0	2	11	2	1	-3202	0
21:19:09	0	2	12	2	-3202	0	0
21:19:09	0	2	1	3	-3202	0	0
21:19:09	0	2	2	3	3	-3202	0
21:19:09	0	2	3	3	-3202	-3202	0
21:19:09	0	2	4	3	-3202	0	0
21:19:09	0	2	5	3	3	-3202	0
21:19:09	0	2	6	3	-3202	-3202	0
21:19:09	0	2	7	3	-3202	-3202	0
21:19:09	0	2	8	3	-3202	-3202	0
21:19:09	0	2	9	3	3	-3202	0
21:19:09	0	2	10	3	-3202	-3202	0
21:19:09	0	2	11	3	-3202	-3202	0
21:19:09	0	2	12	3	3	-3202	0
21:19:09	0	2	1	4	-3202	0	0
21:19:09	0	2	2	4	-3202	-3202	0
21:19:09	0	2	3	4	3	-3202	0
21:19:09	0	2	4	4	-3202	0	0
21:19:09	0	2	5	4	-3202	-3202	0
21:19:09	0	2	6	4	2	-3202	0
21:19:09	0	2	7	4	0	-3202	0
21:19:09	0	2	8	4	1	-3202	0
21:19:09	0	2	9	4	-3202	-3202	0
21:19:09	0	2	10	4	0	-3202	0
21:19:09	0	2	11	4	1	-3202	0
21:19:09	0	2	12	4	-3202	-3202	0
21:19:09	0	2	1	5	-3202	-3202	0
21:19:09	0	2	2	5	8	-3202	0
21:19:09	0	2	3	5	-3202	0	0
21:19:09	0	2	4	5	-3202	-3202	0
21:19:09	0	2	5	5	8	-3202	0
21:19:09	0	2	6	5	-3202	0	0
21:19:09	0	2	7	5	-3202	2	0
21:19:09	0	2	8	5	-3202	0	0
21:19:09	0	2	9	5	3	-3202	0
21:19:09	0	2	10	5	-3202	2	0
21:19:09	0	2	11	5	-3202	0	0
21:19:09	0	2	12	5	3	-3202	0
