SGRGISID SGR MIN_ORIG MIN_BAL MAX_ORIG MAX_BAL
2001 sg1l 5 5 5 5
2002 sg1sr 51 57 51 57
2003 sg2 20 14 20 14
2004 sg3l 5 5 5 5
2005 sg3sr 51 57 51 57
2006 sg4 21 15 21 15
2007 crosswalk1s 25 19 25 19
2008 crosswalk1n 22 16 22 16
2009 crosswalk2 55 61 55 61
2010 crosswalk3n 25 19 25 19
2011 crosswalk3s 22 16 22 16
2012 crosswalk4 55 61 55 61
3001 sg1l 5 5 5 5
3002 sg1sr 45 59 45 59
3003 sg2 31 17 31 17
3004 sg3l 5 5 5 5
3005 sg3sr 45 59 45 59
3006 sg4 32 18 32 18
3007 crosswalk2 44 58 44 58
3008 crosswalk4 44 58 44 58
4001 sg1l 12 12 12 12
4002 sg1sr 36 38 36 38
4003 sg2l 11 9 11 9
4004 sg2sr 16 16 16 16
4005 sg3l 12 12 12 12
4006 sg3sr 37 39 37 39
4007 sg4l 11 9 11 9
4008 sg4sr 16 16 16 16
4021 crosswalk1s 25 25 25 25
4022 crosswalk1n 24 24 24 24
4023 crosswalk2e 44 46 44 46
4024 crosswalk2w 43 45 43 45
4025 crosswalk3n 25 25 25 25
4026 crosswalk3s 24 24 24 24
4027 crosswalk4w 44 46 44 46
4028 crosswalk4e 43 45 43 45
5001 sg1l 6 6 6 6
5002 sg1sr 66 65 66 65
5003 sg2 7 8 7 8
5004 sg3l 5 5 5 5
5005 sg3sr 65 64 65 64
5006 sg4 8 9 8 9
5007 crosswalk1s 11 12 11 12
5008 crosswalk1n 8 9 8 9
5009 crosswalk2 67 66 67 66
5010 crosswalk3n 12 13 12 13
5011 crosswalk3s 8 9 8 9
5012 crosswalk4 67 66 67 66
6001 sg1l 6 10 6 10
6002 sg1sr 55 67 55 67
6003 sg2 47 55 47 55
6004 sg3 28 16 28 16
6005 crosswalk3 46 54 46 54
8001 sg1 75 64 75 64
8002 sg2 5 16 5 16
8003 sg3 75 64 75 64
8004 crosswalk1 8 19 8 19
8005 crosswalk2 79 68 79 68
8006 crosswalk3 8 19 8 19
9001 sg1 15 8 15 8
9002 sg2 69 76 69 76
9003 sg3 15 8 15 8
9004 sg4 69 76 69 76
9005 crosswalk1 66 73 66 73
9006 crosswalk3 68 75 68 75
10001 sg1 10 6 10 6
10002 sg2l 5 5 5 5
10003 sg2sr 62 66 62 66
10004 sg4l 6 6 6 6
10005 sg4sr 62 66 62 66
10006 crosswalk1 68 72 68 72
10007 crosswalk2e 15 11 15 11
10008 crosswalk2w 11 7 11 7
10009 crosswalk3 66 70 66 70
10010 crosswalk4w 14 10 14 10
10011 crosswalk4e 11 7 11 7
12001 sg2 66 73 66 73
12002 sg3 14 7 14 7
12003 sg4 66 73 66 73
12004 crosswalk1 69 76 69 76
12005 crosswalk2 16 9 16 9
12006 crosswalk3 70 77 70 77
12007 crosswalk4 16 9 16 9
13001 sg1 37 31 37 31
13002 sg2 43 49 43 49
13003 sg3 35 29 35 29
13004 sg4 43 49 43 49
13005 crosswalk1 47 53 47 53
13006 crosswalk2 39 33 39 33
13007 crosswalk3 47 53 47 53
13008 crosswalk4 39 33 39 33
15001 sg1 36 40 36 40
15002 sg2 48 44 48 44
15003 sg3 36 40 36 40
15004 sg4 48 44 48 44
15005 crosswalk1 48 44 48 44
15006 crosswalk2 36 40 36 40
15007 crosswalk3 48 44 48 44
15008 crosswalk4 36 40 36 40
16001 sg1 43 33 43 33
16002 sg2 41 51 41 51
16003 sg3 43 33 43 33
16004 sg4 41 51 41 51
16005 crosswalk1 41 51 41 51
16006 crosswalk2 43 33 43 33
16007 crosswalk3 41 51 41 51
16008 crosswalk4 43 33 43 33
17001 sg1 6 13 6 13
17002 sg2 27 45 27 45
17003 sg3 28 8 28 8
17004 sg4l 10 5 10 5
17005 sg4sr 37 50 37 50
17006 crosswalk1 42 55 42 55
17007 crosswalk2e 44 31 44 31
17008 crosswalk2w 44 31 44 31
17009 crosswalk3 46 59 46 59
17010 crosswalk4w 46 33 46 33
17011 crosswalk4e 42 29 42 29
33001 sg1 44 44 44 44
33002 sg2 26 23 26 23
33003 sg3l 6 9 6 9
33004 sg3sr 52 55 52 55
33005 crosswalk1s 29 26 29 26
33006 crosswalk1n 29 26 29 26
33007 crosswalk2 47 47 47 47
33008 crosswalk3n 32 29 32 29
33009 crosswalk3s 27 24 27 24
