Bedrijfsnaam :Schotanus Trafikk                      
Onderzoeker  :Tjerk Schotanus                        
Plaats       :A
Lokatie      :A
Vormgeving   :A
Belasting    :A
Regeling     :A


Groen/rood waarden:
¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
Inputfile:  D:\projects\Deventer\Holterweg\Vissim\A060\holterweg_ochtend.lsa
ochtendspits 2004

Groentijden van 600 tot 7800 seconden


SCJ:40     Green
;;;;;;                                                          0;  10;  20;  30;  40;  50;  60;  70;  80;  90; 100; 110; 120; 130; 140; 150; 160; 170; 180; 190; 200;
Signal group; aan/uit; Minimum; Maximum; Gemiddeld; Stan.dev;  10;  20;  30;  40;  50;  60;  70;  80;  90; 100; 110; 120; 130; 140; 150; 160; 170; 180; 190; 200; INF;
        4001;      46;       4;      41;      13,0;     11,1;  63;  11;  13;  11;   2;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4002;      72;       4;      14;       7,0;      2,5;  89;  11;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4004;     122;       4;      61;      13,8;     13,1;  61;  16;   9;   7;   3;   2;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4005;      80;       4;      71;      50,9;     14,5;   2;   8;   1;   4;  10;  69;   5;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4006;      82;       4;      24;       9,7;      6,0;  66;  26;   9;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4008;      68;       4;      19;       6,1;      2,9;  94;   6;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4009;      11;       4;      15;       8,5;      3,7;  64;  36;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4010;     114;       4;      83;      34,2;     22,4;  19;  14;  16;  15;  10;  11;   7;   5;   3;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4011;      73;      11;      47;      25,2;      8,0;   0;  26;  52;  15;   7;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4012;      53;       4;      11;       5,8;      2,2;  96;   4;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4022;     138;       5;      89;      18,1;     12,5;  30;  39;  14;  12;   3;   1;   0;   0;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4028;      45;       5;      32;      13,0;      6,7;  47;  36;  13;   4;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4031;      46;       4;       8;       5,7;      1,7; 100;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4032;      46;       4;      10;       6,9;      2,4; 100;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4037;      33;       7;      13;       9,3;      2,6;  70;  30;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4038;      33;       4;      16;      10,4;      5,1;  45;  55;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4044;       1;       5;       5;       5,0;      0,0; 100;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4081;     138;       6;      91;      17,7;     12,3;  32;  38;  14;  12;   3;   1;   0;   0;   0;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        4087;      45;       6;      32;      13,6;      6,7;  47;  36;  13;   4;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;


SCJ:50     Green
;;;;;;                                                          0;  10;  20;  30;  40;  50;  60;  70;  80;  90; 100; 110; 120; 130; 140; 150; 160; 170; 180; 190; 200;
Signal group; aan/uit; Minimum; Maximum; Gemiddeld; Stan.dev;  10;  20;  30;  40;  50;  60;  70;  80;  90; 100; 110; 120; 130; 140; 150; 160; 170; 180; 190; 200; INF;
        5002;      76;       4;      11;       7,4;      1,8;  97;   3;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5003;      48;       4;      11;       4,8;      1,4;  98;   2;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5004;      46;       4;      67;      28,0;     15,9;  15;  20;  30;  11;  13;   9;   2;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5005;      72;      20;      64;      51,4;     12,6;   0;   1;   7;  14;  12;  46;  19;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5006;      73;      10;      59;      42,1;      7,5;   1;   0;   7;  19;  71;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5007;      72;      27;      76;      52,3;      8,2;   0;   0;   1;   1;  44;  40;  10;   3;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5008;      73;       4;      22;      10,8;      2,4;  56;  42;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5010;      92;       4;      40;      15,6;      6,9;  24;  59;  13;   4;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5011;      71;      16;      22;      20,6;      1,8;   0;  34;  66;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5012;      43;       4;      33;      12,0;      8,6;  58;  21;  19;   2;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5022;      92;       5;      88;      26,9;     21,5;  24;  37;  10;   5;   1;   9;  13;   0;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5024;      57;       5;      16;       6,2;      2,1;  96;   4;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5031;      34;       4;       8;       6,3;      1,9; 100;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5032;      34;       4;      10;       6,9;      2,5; 100;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5033;      36;       7;      20;       7,8;      2,5;  94;   6;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5034;      36;       4;       7;       4,5;      0,6; 100;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5081;      92;       6;      88;      27,4;     22,0;  27;  29;  13;   7;   1;   9;  12;   1;   1;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;
        5083;      57;       5;      17;       7,1;      2,1;  93;   7;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;


SCJ:60     Green
