Zeit	Simulationszeit	PrgId	KomkId	ContrId	TU	Type	noPrgs	noJunctions
21:19:09	0	1	2001	2	90	2	28	1
21:19:09	0	2	2002	2	90	2	28	1
21:19:09	0	1	3001	3	90	2	28	1
21:19:09	0	2	3002	3	90	2	28	1
21:19:09	0	1	4001	4	90	2	28	1
21:19:09	0	2	4002	4	90	2	28	1
21:19:09	0	1	5001	5	90	2	28	1
21:19:09	0	2	5002	5	90	2	28	1
21:19:09	0	1	6001	6	90	2	28	1
21:19:09	0	2	6002	6	90	2	28	1
21:19:09	0	1	8001	8	90	2	28	1
21:19:09	0	2	8002	8	90	2	28	1
21:19:09	0	1	9001	9	90	2	28	1
21:19:09	0	2	9002	9	90	2	28	1
21:19:09	0	1	10001	10	90	2	28	1
21:19:09	0	2	10002	10	90	2	28	1
21:19:09	0	1	12001	12	90	2	28	1
21:19:09	0	2	12002	12	90	2	28	1
21:19:09	0	1	13001	13	90	2	28	1
21:19:09	0	2	13002	13	90	2	28	1
21:19:09	0	1	15001	15	90	2	28	1
21:19:09	0	2	15002	15	90	2	28	1
21:19:09	0	1	16001	16	90	2	28	1
21:19:09	0	2	16002	16	90	2	28	1
21:19:09	0	1	17001	17	90	2	28	1
21:19:09	0	2	17002	17	90	2	28	1
21:19:09	0	1	33001	33	90	2	28	1
21:19:09	0	2	33002	33	90	2	28	1
