SGRGISID SGR MIN_ORIG MIN_BAL MAX_ORIG MAX_BAL
2001 sg1l 5 5 5 5
2002 sg1sr 51 64 51 64
2003 sg2 20 7 20 7
2004 sg3l 5 5 5 5
2005 sg3sr 51 64 51 64
2006 sg4 21 8 21 8
2007 crosswalk1s 25 12 25 12
2008 crosswalk1n 22 9 22 9
2009 crosswalk2 55 68 55 68
2010 crosswalk3n 25 12 25 12
2011 crosswalk3s 22 9 22 9
2012 crosswalk4 55 68 55 68
3001 sg1l 5 9 5 9
3002 sg1sr 45 52 45 52
3003 sg2 31 20 31 20
3004 sg3l 5 9 5 9
3005 sg3sr 45 52 45 52
3006 sg4 32 21 32 21
3007 crosswalk2 44 51 44 51
3008 crosswalk4 44 51 44 51
4001 sg1l 12 5 12 5
4002 sg1sr 36 41 36 41
4003 sg2l 11 12 11 12
4004 sg2sr 16 17 16 17
4005 sg3l 12 5 12 5
4006 sg3sr 37 42 37 42
4007 sg4l 11 12 11 12
4008 sg4sr 16 17 16 17
4021 crosswalk1s 25 26 25 26
4022 crosswalk1n 24 25 24 25
4023 crosswalk2e 44 49 44 49
4024 crosswalk2w 43 48 43 48
4025 crosswalk3n 25 26 25 26
4026 crosswalk3s 24 25 24 25
4027 crosswalk4w 44 49 44 49
4028 crosswalk4e 43 48 43 48
5001 sg1l 6 6 6 6
5002 sg1sr 66 64 66 64
5003 sg2 7 9 7 9
5004 sg3l 5 5 5 5
5005 sg3sr 65 63 65 63
5006 sg4 8 10 8 10
5007 crosswalk1s 11 13 11 13
5008 crosswalk1n 8 10 8 10
5009 crosswalk2 67 65 67 65
5010 crosswalk3n 12 14 12 14
5011 crosswalk3s 8 10 8 10
5012 crosswalk4 67 65 67 65
6001 sg1l 6 18 6 18
6002 sg1sr 55 77 55 77
6003 sg2 47 57 47 57
6004 sg3 28 6 28 6
6005 crosswalk3 46 56 46 56
8001 sg1 75 73 75 73
8002 sg2 5 7 5 7
8003 sg3 75 73 75 73
8004 crosswalk1 8 10 8 10
8005 crosswalk2 79 77 79 77
8006 crosswalk3 8 10 8 10
9001 sg1 15 7 15 7
9002 sg2 69 77 69 77
9003 sg3 15 7 15 7
9004 sg4 69 77 69 77
9005 crosswalk1 66 74 66 74
9006 crosswalk3 68 76 68 76
10001 sg1 10 13 10 13
10002 sg2l 5 9 5 9
10003 sg2sr 62 55 62 55
10004 sg4l 6 10 6 10
10005 sg4sr 62 55 62 55
10006 crosswalk1 68 61 68 61
10007 crosswalk2e 15 18 15 18
10008 crosswalk2w 11 14 11 14
10009 crosswalk3 66 59 66 59
10010 crosswalk4w 14 17 14 17
10011 crosswalk4e 11 14 11 14
12001 sg2 66 69 66 69
12002 sg3 14 11 14 11
12003 sg4 66 69 66 69
12004 crosswalk1 69 72 69 72
12005 crosswalk2 16 13 16 13
12006 crosswalk3 70 73 70 73
12007 crosswalk4 16 13 16 13
13001 sg1 37 20 37 20
13002 sg2 43 60 43 60
13003 sg3 35 18 35 18
13004 sg4 43 60 43 60
13005 crosswalk1 47 64 47 64
13006 crosswalk2 39 22 39 22
13007 crosswalk3 47 64 47 64
13008 crosswalk4 39 22 39 22
15001 sg1 36 29 36 29
15002 sg2 48 55 48 55
15003 sg3 36 29 36 29
15004 sg4 48 55 48 55
15005 crosswalk1 48 55 48 55
15006 crosswalk2 36 29 36 29
15007 crosswalk3 48 55 48 55
15008 crosswalk4 36 29 36 29
16001 sg1 43 25 43 25
16002 sg2 41 59 41 59
16003 sg3 43 25 43 25
16004 sg4 41 59 41 59
16005 crosswalk1 41 59 41 59
16006 crosswalk2 43 25 43 25
16007 crosswalk3 41 59 41 59
16008 crosswalk4 43 25 43 25
17001 sg1 6 6 6 6
17002 sg2 27 54 27 54
17003 sg3 28 5 28 5
17004 sg4l 10 6 10 6
17005 sg4sr 37 60 37 60
17006 crosswalk1 42 65 42 65
17007 crosswalk2e 44 21 44 21
17008 crosswalk2w 44 21 44 21
17009 crosswalk3 46 69 46 69
17010 crosswalk4w 46 23 46 23
17011 crosswalk4e 42 19 42 19
33001 sg1 44 51 44 51
33002 sg2 26 18 26 18
33003 sg3l 6 7 6 7
33004 sg3sr 52 60 52 60
33005 crosswalk1s 29 21 29 21
33006 crosswalk1n 29 21 29 21
33007 crosswalk2 47 54 47 54
33008 crosswalk3n 32 24 32 24
33009 crosswalk3s 27 19 27 19
