Bedrijfsnaam :Schotanus Trafikk                      
Onderzoeker  :Tjerk Schotanus                        
Plaats       :A
Lokatie      :A
Vormgeving   :A
Belasting    :A
Regeling     :A


Verstragingstijden:
¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
Inputfile:  D:\projects\Deventer\Holterweg\Vissim\A060\holterweg_ochtend.vlz
ochtendspits 2004

Delay:

;;                    600;  1500;  2400;  3300;  4200;  5100;  6000;  6900;
      No.:;   VehC;  1500;  2400;  3300;  4200;  5100;  6000;  6900;  7800; Minimum; Maximum; Gemiddeld; Stan.dev;  Aantal;
      4001;    All;  23,7;  43,5;  43,1;  34,1;  28,8;  38,0;  59,1;  35,1;    23,7;    59,1;      38,4;      9,9;      83;
      4002;    All;  45,3;  43,4;  61,5;  60,9;  46,1;  52,1;  72,3;  64,8;    43,4;    72,3;      56,0;      9,6;     210;
      4004;    All;   7,3;   9,1;   8,6;   7,7;   4,7;   8,1;   8,6;   7,2;     4,7;     9,1;       7,7;      1,3;     214;
      4005;    All;   5,4;   2,9;   2,9;   3,6;   2,2;   2,1;   2,0;   2,3;     2,0;     5,4;       2,9;      1,1;    1904;
      4006;    All;  14,5;  17,7;  25,1;  20,4;  13,6;  21,1;  21,2;  23,0;    13,6;    25,1;      19,5;      3,8;     139;
      4008;    All;  36,3;  49,8;  40,6;  37,4;  29,5;  34,3;  44,0;  42,5;    29,5;    49,8;      39,0;      5,9;     143;
      4009;    All;  45,7;   7,4;  22,3;   ***;  68,9;  27,2;  39,8;   ***;     7,4;    68,9;      39,0;     16,5;      14;
      4010;    All;   6,0;   6,4;  11,6;   6,4;   4,6;   7,2;   6,4;   6,1;     4,6;    11,6;       6,7;      1,8;     454;
      4011;    All;  31,3;  34,5;  34,0;  31,6;  33,2;  28,6;  31,1;  34,5;    28,6;    34,5;      32,3;      2,0;    1620;
      4012;    All;  43,0;  45,4;  49,8;  33,0;  31,2;  39,5;  45,1;  58,5;    31,2;    58,5;      43,8;      8,9;     107;
      4022;   Bike;   8,3;   5,5;  19,4;  29,4;  31,8;  28,3;  18,3;  10,3;     5,5;    31,8;      19,7;      9,6;     131;
      4028;   Bike;  46,9;  23,7;  46,9;  19,4;   ***;  40,7;  44,4;  64,1;    19,4;    64,1;      44,8;     12,6;      17;
      4031;Pedestr;   7,8;  10,7;  13,5;  16,8;   9,3;  17,4;  14,5;  10,0;     7,8;    17,4;      11,7;      2,9;      28;
      4032;Pedestr;  23,2;  31,3;  19,4;  13,0;   ***;   2,1;   9,1;   ***;     2,1;    31,3;      15,0;      7,9;      17;
      4037;Pedestr;  16,4;  40,2;  41,6;   ***;   ***;  14,7;  37,9;  32,3;    14,7;    41,6;      32,6;     10,4;      20;
      4038;Pedestr;   7,2;  42,4;  42,7;  33,8;  32,7;  49,6;  53,7;   ***;     7,2;    53,7;      41,7;     11,3;      17;
      4081;   Bike;   6,9;   8,7;   8,9;  11,8;  13,4;   5,7;   8,8;   5,2;     5,2;    13,4;       8,6;      2,4;     207;
      4087;   Bike;   ***;  43,6;  61,5;   ***;  16,2;  29,2;  51,3;  19,4;    16,2;    61,5;      39,7;     15,9;      21;
      5002;    All;  50,8;  44,2;  61,6; 112,8;  78,3;  45,5;  51,3;  60,9;    44,2;   112,8;      66,5;     22,6;     307;
      5003;    All;  44,9;  58,3;  52,2;  45,3;  52,9;  39,9;  40,0;  54,7;    39,9;    58,3;      49,1;      6,6;      79;
      5004;    All;   9,7;   9,6;  10,5;  16,1;  11,1;  12,5;   9,2;   9,7;     9,2;    16,1;      11,3;      2,3;      72;
      5005;    All;   7,3;  13,2;   7,9;  11,5;   8,4;   8,0;  10,6;   9,7;     7,3;    13,2;       9,7;      2,0;    1891;
      5006;    All;   9,7;  11,5;  16,6;  17,6;  12,1;  10,5;  12,6;  10,9;     9,7;    17,6;      12,8;      2,8;    1248;
      5007;    All;  16,5;  15,8;  18,6;  16,9;  21,2;  38,2;  19,9;  19,2;    15,8;    38,2;      21,2;      7,2;     987;
      5008;    All;  57,1;  42,8;  75,1;  48,1;  51,8;  93,4;  76,9;  53,4;    42,8;    93,4;      65,2;     16,7;     351;
      5010;    All;  14,1;   7,0;  20,3;   8,6;  11,0;  16,0;  20,5;   7,5;     7,0;    20,5;      13,7;      5,1;     325;
      5011;    All;  19,5;  14,8;  17,5;  18,6;  28,7;  46,5;  34,1;  18,6;    14,8;    46,5;      25,2;     10,4;    1274;
      5012;    All;  54,7;  68,4;  28,1;  46,1;  30,7;  33,9;  61,5;  42,2;    28,1;    68,4;      46,4;     14,3;      87;
      5022;   Bike;   6,6;   4,3;   8,4;   7,4;   5,8;   4,9;  10,9;  11,6;     4,3;    11,6;       7,5;      2,4;     129;
      5024;   Bike;  54,3;  30,8;  53,5;  16,9;  34,8;  24,3;  41,7;  36,0;    16,9;    54,3;      38,8;     13,4;      45;
      5031;Pedestr;   7,2;  11,5;  44,5;   6,0;  24,0;   9,6;  11,8;   4,0;     4,0;    44,5;      11,1;      9,0;      19;
      5032;Pedestr;  10,5;   5,1;  27,1;  21,1;   1,4;  34,6;   0,7;   ***;     0,7;    34,6;      14,7;     11,6;      19;
      5033;Pedestr;  62,8;  35,9;  21,3;  26,4;  46,1;   ***;  60,6;  33,7;    21,3;    62,8;      39,0;     14,6;      25;
      5034;Pedestr;  21,5;  55,8;  82,6;  60,6;  46,1;  28,6;  67,7;  55,9;    21,5;    82,6;      50,1;     18,0;      29;
      5081;   Bike;  12,9;  13,0;  14,4;  13,5;  10,7;  21,6;  11,4;  11,7;    10,7;    21,6;      13,6;      2,9;     209;
      5083;   Bike;  37,5;  49,1;  54,6;  40,9;  43,3;  54,3;  45,2;  39,5;    37,5;    54,6;      45,8;      6,1;     479;
      5505;    All;   1,4;   4,6;   1,6;   5,3;   1,8;   1,7;   1,8;   3,6;     1,4;     5,3;       2,8;      1,5;    3213;
      5511;    All;   2,2;   2,5;   1,6;   3,6;   1,6;   1,8;   2,7;   2,9;     1,6;     3,6;       2,4;      0,6;    2312;
      5524;   Bike;  32,7;  45,5;  39,6;  24,7;  40,5;  41,8;  34,4;  27,9;    24,7;    45,5;      36,3;      6,9;     197;
      5533;Pedestr;  27,9;  24,3;  91,9;   1,5;  34,9;  54,4;  35,5;  62,1;     1,5;    91,9;      39,1;     20,1;      19;
      5534;Pedestr;  47,0;  27,4;   8,5;  14,3;  47,6;  39,5;  64,2;  43,9;     8,5;    64,2;      37,6;     14,9;      24;
      6001;    All;  17,5;  17,4;  27,6;  16,1;  27,8;  16,4;  15,5;  24,1;    15,5;    27,8;      20,4;      5,0;     407;
      6002;    All;  40,6;  42,6;  49,1;  75,0;  59,9;  55,8;  48,2;  46,6;    40,6;    75,0;      53,4;     11,2;     489;
      6004;    All;  47,0;  28,7;  30,1;  29,3;   6,2;   ***;  40,4;  42,3;     6,2;    47,0;      36,7;     11,5;      25;
      6005;    All;  54,4;  40,1;  42,2;  42,6;  39,7;  40,9;  49,6;  37,4;    37,4;    54,4;      43,6;      5,4;    1766;
      6006;    All;  68,3;  52,8;  48,9;  52,2;  43,3;  51,6;  52,8;  40,7;    40,7;    68,3;      51,7;      7,7;     558;
      6007;    All;  45,6;  49,2;  42,1;  44,6;  41,3;  45,5;  45,5;  36,2;    36,2;    49,2;      43,6;      3,8;     361;
      6008;    All;  52,9;  64,2;  44,8;  46,7;  35,0;  36,7;  40,1;  40,0;    35,0;    64,2;      45,3;      8,6;     182;
      6009;    All;  81,9;  72,0;  63,1;  54,1;  38,4;  64,2;  50,3;  46,5;    38,4;    81,9;      59,3;     13,2;    1055;
      6010;    All;   9,4;  10,1;   6,9;   9,4;   9,9;  10,5;   7,9;  10,1;     6,9;    10,5;       9,3;      1,1;     853;
      6011;    All;  17,7;  17,2;  17,4;  23,8;  18,8;  17,6;  17,2;  17,5;    17,2;    23,8;      18,4;      2,1;    1466;
      6022;   Bike;  26,3;  28,2;  24,8;  20,8;  31,1;  35,5;  31,2;  41,8;    20,8;    41,8;      30,6;      6,4;     185;
      6024;   Bike;  41,9;  38,4;  37,8;  30,3;  28,3;  39,7;  33,4;  37,9;    28,3;    41,9;      36,2;      4,5;     386;
      6031;Pedestr;  33,0;   9,4;  29,8;  32,7;  58,4;  28,6;  32,4;  38,4;     9,4;    58,4;      34,2;      9,5;      52;
      6032;Pedestr;  36,5;  37,4;  38,2;  16,3;  28,1;  27,6;  36,1;  32,4;    16,3;    38,2;      31,3;      6,9;      57;
      6033;Pedestr;  34,5;  38,0;  34,0;  48,6;  48,7;  55,3;  51,8;  40,0;    34,0;    55,3;      43,9;      7,8;      47;
      6034;Pedestr;  60,8;  34,5;  30,4;  54,0;  47,7;  30,3;  33,7;  53,3;    30,3;    60,8;      41,4;     11,4;      54;
      6081;   Bike;  30,2;  20,0;  24,6;  28,5;  24,4;  29,8;  23,6;  28,2;    20,0;    30,2;      26,5;      3,1;     198;
      6083;   Bike;  51,9;  30,8;  35,1;  31,8;  36,8;  34,8;  36,2;  35,2;    30,8;    51,9;      36,2;      5,7;     190;

;          ATD-Totaal; ATD-All; ATD-Bike; ATD-Pedestrian;
Voertuigen;      22,2;    21,2;     30,2;           33,6;
  Personen;      22,1;    21,3;     30,2;           33,6;


Stopdelay:

;;                    600;  1500;  2400;  3300;  4200;  5100;  6000;  6900;
      No.:;   VehC;  1500;  2400;  3300;  4200;  5100;  6000;  6900;  7800; Minimum; Maximum; Gemiddeld; Stan.dev;  Aantal;
      4001;    All;  17,2;  36,6;  36,6;  28,4;  23,5;  31,3;  50,2;  28,3;    17,2;    50,2;      31,7;      9,1;      83;
      4002;    All;  37,8;  36,5;  53,8;  52,5;  38,6;  43,5;  63,9;  56,6;    36,5;    63,9;      48,0;      9,3;     210;
      4004;    All;   2,9;   3,5;   3,9;   3,0;   0,6;   4,1;   3,1;   2,1;     0,6;     4,1;       2,9;      1,0;     214;
      4005;    All;   3,3;   1,1;   1,3;   2,1;   0,9;   1,1;   0,5;   1,0;     0,5;     3,3;       1,4;      0,8;    1904;
      4006;    All;   8,6;   9,8;  19,4;  14,0;   8,4;  15,5;  16,1;  17,0;     8,4;    19,4;      13,5;      3,9;     139;
      4008;    All;  29,5;  42,5;  33,1;  30,7;  21,9;  27,2;  36,1;  35,0;    21,9;    42,5;      31,8;      5,8;     143;
      4009;    All;  38,2;   0,4;  16,4;   ***;  61,4;  19,8;  32,0;   ***;     0,4;    61,4;      31,7;     16,2;      14;
      4010;    All;   3,0;   3,3;   6,9;   2,7;   1,5;   3,0;   2,7;   2,3;     1,5;     6,9;       3,1;      1,4;     454;
      4011;    All;  23,9;  26,7;  26,3;  24,1;  25,9;  21,5;  23,8;  26,2;    21,5;    26,7;      24,8;      1,7;    1620;
      4012;    All;  35,6;  37,9;  43,2;  26,7;  26,0;  31,1;  39,2;  50,3;    26,0;    50,3;      36,7;      8,4;     107;
      4022;   Bike;   6,9;   4,3;  17,5;  27,2;  29,3;  25,6;  16,6;   8,6;     4,3;    29,3;      17,7;      9,2;     131;
      4028;   Bike;  43,9;  21,0;  43,9;  16,2;   ***;  37,8;  41,5;  61,2;    16,2;    61,2;      41,8;     12,6;      17;
      4031;Pedestr;   6,7;   9,4;  12,0;  15,4;   8,1;  16,0;  13,4;   9,0;     6,7;    16,0;      10,5;      2,9;      28;
      4032;Pedestr;  21,8;  30,0;  18,0;  11,6;   ***;   1,1;   7,7;   ***;     1,1;    30,0;      13,7;      7,8;      17;
      4037;Pedestr;  15,0;  38,8;  40,5;   ***;   ***;  13,8;  36,5;  31,3;    13,8;    40,5;      31,4;     10,3;      20;
      4038;Pedestr;   5,8;  40,9;  41,3;  32,4;  31,3;  48,3;  52,2;   ***;     5,8;    52,2;      40,3;     11,3;      17;
      4081;   Bike;   5,4;   6,9;   7,1;   9,5;  11,5;   4,0;   7,0;   3,4;     3,4;    11,5;       6,8;      2,3;     207;
      4087;   Bike;   ***;  40,7;  58,7;   ***;  13,3;  27,2;  48,6;  16,5;    13,3;    58,7;      37,0;     15,8;      21;
      5002;    All;  43,9;  38,0;  52,6;  96,9;  67,1;  38,8;  44,4;  52,3;    38,0;    96,9;      57,1;     19,4;     307;
      5003;    All;  38,6;  52,0;  45,5;  37,1;  46,2;  34,0;  32,5;  48,1;    32,5;    52,0;      42,4;      6,7;      79;
      5004;    All;   3,7;   2,1;   4,8;   5,9;   5,5;   5,8;   0,0;   4,0;     0,0;     5,9;       4,4;      1,5;      72;
      5005;    All;   1,2;   3,5;   1,6;   3,2;   1,7;   1,8;   3,0;   2,7;     1,2;     3,5;       2,4;      0,8;    1891;
      5006;    All;   2,5;   3,6;   7,1;   6,1;   3,8;   2,8;   3,4;   3,0;     2,5;     7,1;       4,1;      1,6;    1248;
      5007;    All;  11,2;   9,9;  11,6;  11,1;  13,1;  25,3;  11,9;  12,7;     9,9;    25,3;      13,7;      4,9;     987;
